w	self_d_u-self_d_u	self_d_d-self_d_u	self_d_u-self_d_d	self_d_d-self_d_d
-0.010351976195164623 + 0.0im	-0.18216583994924435 - 0.028813853449223634im	-0.200898871323252 + 0.003420795216988647im	-0.20089887132325196 + 0.0034207952169886553im	0.018733025552459513 - 0.03223464866623498im
-0.010249481381351112 + 0.0im	-0.1822604286127067 - 0.02881363585999858im	-0.20090854924793428 + 0.003384138310114766im	-0.20090854924793425 + 0.003384138310114773im	0.018648114814948467 - 0.03219777417013717im
-0.010148001367674369 + 0.0im	-0.1823540921332465 - 0.028813374710735057im	-0.20091823341848034 + 0.0033476836230597927im	-0.20091823341848036 + 0.0033476836230598005im	0.018564138216022475 - 0.03216105833381975im
-0.010047526106608286 + 0.0im	-0.1824468434888107 - 0.028813070558588262im	-0.20092792067286397 + 0.0033114305933395847im	-0.20092792067286397 + 0.0033114305933395925im	0.018481074199068488 - 0.032124501151953734im
-0.009948045650107214 + 0.0im	-0.18253869542035248 - 0.028812724109961205im	-0.20093760317263154 + 0.003275378897750925im	-0.20093760317263154 + 0.0032753788977509324im	0.018398901935653775 - 0.03208810300773911im
-0.009849550148621003 + 0.0im	-0.1826296603036087 - 0.02881233621085365im	-0.20094726741911106 + 0.003239528437057237im	-0.20094726741911106 + 0.0032395284370572456im	0.01831760130007792 - 0.03205186464793889im
-0.009752029850119805 + 0.0im	-0.18271975032641496 - 0.028811907837313234im	-0.20095690877441086 + 0.00320387932083468im	-0.20095690877441086 + 0.0032038793208346893im	0.018237152633757445 - 0.032015787158176975im
-0.00965547509912852 + 0.0im	-0.18280897741339222 - 0.028811440086008215im	-0.2009665201065722 + 0.0031684318525071814im	-0.2009665201065722 + 0.0031684318525071887im	0.018157536880114646 - 0.03197987193854553im
-0.009559876335770812 + 0.0im	-0.18289735323208164 - 0.02881093416493781im	-0.20097609461590818 + 0.0031331865145978782im	-0.20097609461590818 + 0.0031331865145978856im	0.018078735571921918 - 0.03194412067956678im
-0.009465224094822587 + 0.0im	-0.18298488917470157 - 0.028810391384296818im	-0.2009856258726813 + 0.0030981439542232354im	-0.2009856258726813 + 0.0030981439542232428im	0.01800073088721542 - 0.031908535338552244im
-0.009371509004774839 + 0.0im	-0.18307159653591476 - 0.02880981314751154im	-0.20099510428231945 + 0.003063304968854942im	-0.20099510428231945 + 0.0030633049688549496im	0.01792350511811926 - 0.03187311811639964im
