w	self_d_u-self_d_u	self_d_d-self_d_u	self_d_u-self_d_d	self_d_d-self_d_d
0.020163007333737805 + 0.0im	-0.21140107304317537 - 0.03128018916430221im	-0.20369500131047577 - 0.006683646812022369im	-0.20369500131047583 - 0.006683646812022366im	-0.007706077067403511 - 0.024596542352323537im
0.020364637407075184 + 0.0im	-0.21160788940684508 - 0.03129536093524433im	-0.2037358482719485 - 0.006726700918417372im	-0.2037358482719485 - 0.006726700918417371im	-0.00787204545420531 - 0.024568660016868877im
0.020568283781145936 + 0.0im	-0.2118174395763472 - 0.03131101981181606im	-0.20377772765294747 - 0.006770219150172339im	-0.20377772765294747 - 0.006770219150172341im	-0.008039708377306738 - 0.024540800661683848im
0.020773966618957394 + 0.0im	-0.21202974411003542 - 0.031327190465139945im	-0.20382066081556297 - 0.006814216335061991im	-0.20382066081556297 - 0.006814216335061993im	-0.008209079690116585 - 0.02451297413011623im
0.020981706285146968 + 0.0im	-0.2122448335763008 - 0.031343897790895im	-0.203864658037231 - 0.006858707419280116im	-0.20386465803723103 - 0.006858707419280116im	-0.008380173328947745 - 0.024485190371651387im
0.02119152334799844 + 0.0im	-0.21246273978917496 - 0.031361166891181395im	-0.20390973834219422 - 0.006903707456017674im	-0.20390973834219422 - 0.006903707456017676im	-0.008553003145414574 - 0.024457459435198444im
0.021403438581478425 + 0.0im	-0.21268348717084518 - 0.03137902305672977im	-0.20395590311612655 - 0.006949231594254321im	-0.20395590311612655 - 0.006949231594254323im	-0.008727582933005453 - 0.024429791462508316im
0.02161747296729321 + 0.0im	-0.21290710902278362 - 0.03139749174951573im	-0.20400318437747475 - 0.0069952950678010386im	-0.20400318437747475 - 0.006995295067801036im	-0.008903914548733018 - 0.024402196681745737im
0.021833647696966142 + 0.0im	-0.21313362890629148 - 0.03141659858583825im	-0.20405157908986962 - 0.0070419131846303695im	-0.20405157908986965 - 0.007041913184630374im	-0.00908204081605008 - 0.024374685401237127im
0.022051984173935803 + 0.0im	-0.21336307619323822 - 0.031436369319919444im	-0.2041011147167326 - 0.00708910131653029im	-0.2041011147167326 - 0.00708910131653029im	-0.009261958351002549 - 0.02434726800341657im
0.02227250401567516 + 0.0im	-0.21359547892715158 - 0.031456829828080575im	-0.2041518072084271 - 0.00713687488911615im	-0.20415180720842707 - 0.007136874889116152im	-0.009443674599407259 - 0.02431995493899006im
0.022495229055831914 + 0.0im	-0.21383086516870095 - 0.03147800609354929im	-0.20420365925188858 - 0.007185249372234665im	-0.20420365925188858 - 0.007185249372234665im	-0.009627208770438832 - 0.024292756721338453im
0.022720181346390235 + 0.0im	-0.21406926253575587 - 0.03149992419194912im	-0.20425669097019225 - 0.007234240270792381im	-0.20425669097019225 - 0.007234240270792381im	-0.009812574392212113 - 0.02426568392117875im
0.02294738315985414 + 0.0im	-0.2143106983301178 - 0.03152261027752182im	-0.20431091534352555 - 0.007283863116039794im	-0.20431091534352555 - 0.007283863116039795im	-0.009999784914852013 - 0.024238747161502202im
0.02317685699145268 + 0.0im	-0.2145552031438134 - 0.03154609057013008im	-0.2043663452186094 - 0.007334133457341313im	-0.2043663452186094 - 0.0073341334573413155im	-0.010188853723437809 - 0.024211957112807138im
0.023408625561367205 + 0.0im	-0.21480280015052006 - 0.03157039134308667im	-0.20442300799173516 - 0.00738506685445955im	-0.20442300799173516 - 0.007385066854459547im	-0.01037979442776311 - 0.02418532448864372im
0.02364271181698088 + 0.0im	-0.21505352056328164 - 0.03159553891185353im	-0.2044809015793223 - 0.007436678870381468im	-0.2044809015793223 - 0.007436678870381465im	-0.010572620679399654 - 0.024158860041486853im
0.023879138935150687 + 0.0im	-0.21530739173531496 - 0.031621559623651825im	-0.20454004378786952 - 0.007488985064712017im	-0.20454004378786952 - 0.007488985064712017im	-0.010767346058683855 - 0.024132574558952794im
0.024117930324502195 + 0.0im	-0.21556444188782503 - 0.03164847984802252im	-0.2046004632857842 - 0.007542000987660046im	-0.20460046328578418 - 0.007542000987660048im	-0.010963982391665815 - 0.0241064788603737im
0.024359109627747216 + 0.0im	-0.21582469825771625 - 0.03167632596837395im	-0.2046621617925751 - 0.007595742174639326im	-0.2046621617925751 - 0.007595742174639328im	-0.011162544160997193 - 0.02408058379374406im
0.02460270072402469 + 0.0im	-0.21608818973132116 - 0.03170512437455079im	-0.2047251525836692 - 0.007650224141506461im	-0.2047251525836692 - 0.007650224141506461im	-0.011363044819130287 - 0.02405490023305199im
0.024848727731264935 + 0.0im	-0.21635494418627832 - 0.03173490145645699im	-0.2047894501074283 - 0.007705462380455893im	-0.2047894501074283 - 0.007705462380455895im	-0.011565497903910735 - 0.024029439076006964im
0.025097215008577586 + 0.0im	-0.2166249887002277 - 0.031765683598762424im	-0.2048550782569751 - 0.007761472356590857im	-0.2048550782569751 - 0.007761472356590859im	-0.01176991654990923 - 0.02400421124217572im
0.02534818715866336 + 0.0im	-0.21689835686110276 - 0.03179749717672159im	-0.2049220479769498 - 0.007818269505187748im	-0.2049220479769498 - 0.007818269505187748im	-0.011976314919275706 - 0.023979227671536228im
0.025601669030249994 + 0.0im	-0.21717507564942343 - 0.031830368553129054im	-0.20499037501815554 - 0.007875869229670016im	-0.20499037501815554 - 0.007875869229670015im	-0.01218470654041377 - 0.02395449932345968im
0.025857685720552494 + 0.0im	-0.21745517308870263 - 0.03186432407643692im	-0.20506007410402416 - 0.00793428690030667im	-0.20506007410402416 - 0.00793428690030667im	-0.012395105032103546 - 0.023930037176129192im
0.02611626257775802 + 0.0im	-0.217738682799825 - 0.031899390080054865im	-0.20513116614077126 - 0.007993537853648718im	-0.20513116614077126 - 0.007993537853648723im	-0.012607524254183202 - 0.023905852226403373im
0.0263774252035356 + 0.0im	-0.21802562944855108 - 0.03193559288285326im	-0.20520365497285237 - 0.00805363739271639im	-0.20520365497285237 - 0.008053637392716391im	-0.012821978161766785 - 0.023881955490132355im
0.026641199455570957 + 0.0im	-0.2183160456707808 - 0.031972958790887504im	-0.20527756839460143 - 0.008114600787948279im	-0.20527756839460143 - 0.008114600787948274im	-0.013038480624615142 - 0.02385835800293309im
0.026907611450126667 + 0.0im	-0.21860996266060057 - 0.03201151410036074im	-0.20535292404936498 - 0.008176443278922906im	-0.20535292404936498 - 0.008176443278922913im	-0.01325704606798232 - 0.02383507082142997im
0.027176687564627933 + 0.0im	-0.2189074117409037 - 0.032051285101838925im	-0.20542973046465957 - 0.008239180076862201im	-0.2054297304646596 - 0.008239180076862201im	-0.013477688709640603 - 0.023812105024967212im
0.027448454440274214 + 0.0im	-0.21920842446592592 - 0.03209229808573395im	-0.2055080089233907 - 0.008302826367925462im	-0.2055080089233907 - 0.008302826367925462im	-0.013700422952649876 - 0.02378947171779731im
0.027722938984676957 + 0.0im	-0.21951303312947998 - 0.032134579349066im	-0.20558777710370935 - 0.008367397317301645im	-0.20558777710370935 - 0.008367397317301647im	-0.013925263412673406 - 0.02376718203175153im
0.028000168374523727 + 0.0im	-0.21982127062078724 - 0.03217815520351792im	-0.20566905313448847 - 0.008432908074107247im	-0.20566905313448847 - 0.008432908074107246im	-0.014152224740825073 - 0.02374524712939617im
0.028280170058268963 + 0.0im	-0.22013317031289364 - 0.03222305198479199im	-0.20575185533361792 - 0.008499373777096505im	-0.20575185533361798 - 0.008499373777096503im	-0.014381322319996948 - 0.023723678207679365im
0.02856297175885165 + 0.0im	-0.22044876604228925 - 0.032269296063280016im	-0.20583620249454215 - 0.008566809561190018im	-0.20583620249454215 - 0.008566809561190016im	-0.014612570865458209 - 0.023702486502072292im
0.028848601476440167 + 0.0im	-0.22076809257306312 - 0.032316913856056055im	-0.2059221139602339 - 0.008635230564827909im	-0.2059221139602339 - 0.008635230564827913im	-0.014845985907592292 - 0.023681683291208854im
0.02913708749120457 + 0.0im	-0.2210911851479298 - 0.03236593184020166im	-0.20600960560348308 - 0.008704651938153056im	-0.20600960560348314 - 0.00870465193815306im	-0.015081583046816643 - 0.0236612799020277im
0.029428458366116614 + 0.0im	-0.22141808010820227 - 0.032416376567473024im	-0.20609870929438512 - 0.008775088852030167im	-0.20609870929438512 - 0.008775088852030166im	-0.015319378062873075 - 0.023641287715420376im
0.02972274294977778 + 0.0im	-0.22174881382276385 - 0.03246827468031983im	-0.2061894339478253 - 0.00884655650790614im	-0.2061894339478253 - 0.008846556507906141im	-0.015559387101197043 - 0.02362171817238967im
0.03001997037927556 + 0.0im	-0.22208342407773132 - 0.03252165292926558im	-0.20628180481950353 - 0.008919070148517852im	-0.20628180481950353 - 0.008919070148517854im	-0.015801626461736867 - 0.02360258278072216im
0.030320170083068313 + 0.0im	-0.22242194933617923 - 0.032576538191659635im	-0.20637584367587333 - 0.008992645069453008im	-0.20637584367587333 - 0.00899264506945301im	-0.016046112841102217 - 0.023583893122179518im
0.030623371783898998 + 0.0im	-0.22276442874681024 - 0.032632957491812324im	-0.206471572900222 - 0.009067296631570812im	-0.20647157290022194 - 0.009067296631570814im	-0.01629286300470738 - 0.023565660860212865im
0.030929605501737987 + 0.0im	-0.22311090266772196 - 0.03269093802252506im	-0.20656901543473705 - 0.009143040274289332im	-0.20656901543473705 - 0.009143040274289336im	-0.01654189436844903 - 0.0235478977482056im
0.031238901556755367 + 0.0im	-0.2234614120522674 - 0.0327505071680282im	-0.2066681949100453 - 0.009219891529746976im	-0.20666819491004532 - 0.009219891529746976im	-0.01679322425505898 - 0.023530615638249576im
0.03155129057232292 + 0.0im	-0.2238159990541054 - 0.03281169252834125im	-0.20676913555832147 - 0.009297866037846686im	-0.2067691355583214 - 0.009297866037846684im	-0.017046870586012692 - 0.023513826490461444im
0.03186680347804615 + 0.0im	-0.22417470684610627 - 0.03287452194507103im	-0.20687186227506096 - 0.009376979562191785im	-0.20687186227506096 - 0.009376979562191788im	-0.01730285163867478 - 0.023497542382844686im
0.032185471512826615 + 0.0im	-0.2245375796928496 - 0.03293902352866519im	-0.20697640069787313 - 0.009457248006923824im	-0.20697640069787313 - 0.009457248006923828im	-0.017561186040014776 - 0.023481775521705304im
0.03250732622795488 + 0.0im	-0.22490466268686926 - 0.03300522568714001im	-0.20708277713481987 - 0.009538687434473548im	-0.20708277713481987 - 0.009538687434473548im	-0.01782189274556862 - 0.023466538252628958im
0.03283239949023443 + 0.0im	-0.22527600236421347 - 0.03307315715630447im	-0.20719101868108394 - 0.009621314084237586im	-0.20719101868108394 - 0.00962131408423759im	-0.018084990854276187 - 0.02345184307202797im
0.033160723485136774 + 0.0im	-0.22565164627314063 - 0.033142847031503005im	-0.2073011531841752 - 0.009705144392194602im	-0.20730115318417516 - 0.009705144392194604im	-0.01835050023772877 - 0.023437702639268056im
0.03349233071998814 + 0.0im	-0.2260316434729808 - 0.03321432480090317im	-0.20741320929652882 - 0.009790195011476068im	-0.2074132092965288 - 0.009790195011476063im	-0.018618441302824612 - 0.023424129789385344im
0.033827254027188024 + 0.0im	-0.22641604356108838 - 0.033287620380356445im	-0.20752721647478992 - 0.009876482833908594im	-0.20752721647478992 - 0.009876482833908594im	-0.01888883419024883 - 0.02341113754640476im
0.03416552656745991 + 0.0im	-0.22680489821423083 - 0.03336276414986354im	-0.20764320504050116 - 0.00996402501254596im	-0.2076432050405011 - 0.009964025012545957im	-0.019161700255231288 - 0.023398739137273056im
0.034507181833134504 + 0.0im	-0.22719826007616667 - 0.03343978699167659im	-0.20776120617774502 - 0.010052838985211306im	-0.20776120617774502 - 0.010052838985211308im	-0.019437060957439373 - 0.023386948006419352im
0.034852253651465846 + 0.0im	-0.22759618322720626 - 0.033518720330076954im	-0.2078812519669798 - 0.010142942499071089im	-0.2078812519669798 - 0.01014294249907109im	-0.01971493829671901 - 0.02337577783095859im
0.0352007761879805 + 0.0im	-0.2279987226829076 - 0.0335995961728672im	-0.20800337536790325 - 0.010234353636265039im	-0.20800337536790325 - 0.010234353636265037im	-0.019995355000340154 - 0.023365242536553543im
0.035552783949860306 + 0.0im	-0.22840593652396257 - 0.03368244715462111im	-0.2081276105366904 - 0.010327090840617906im	-0.2081276105366904 - 0.010327090840617902im	-0.02027833300598941 - 0.023355356313953274im
0.03590831178935891 + 0.0im	-0.2288178823672267 - 0.03376730658173823im	-0.20825399214364423 - 0.010421172945460999im	-0.20825399214364423 - 0.010421172945460995im	-0.02056389719214417 - 0.023346133636225973im
0.0362673949072525 + 0.0im	-0.22923462029207195 - 0.03385420847935357im	-0.20838255623654653 - 0.010516619202593981im	-0.2083825562365465 - 0.01051661920259398im	-0.020852071001309324 - 0.023337589276707045im
0.03663006885632502 + 0.0im	-0.22965621193317567 - 0.033943187640156254im	-0.20851333568485542 - 0.010613449312419298im	-0.20851333568485542 - 0.010613449312419296im	-0.021142879091349036 - 0.02332973832768309im
0.03699636954488827 + 0.0im	-0.23008272049605236 - 0.03403427967517523im	-0.20864637665509217 - 0.010711683455284225im	-0.20864637665509217 - 0.010711683455284225im	-0.02143634665651499 - 0.023322596219835824im
0.03736633324033715 + 0.0im	-0.23051421085882123 - 0.03412752106659381im	-0.20878171417912575 - 0.010811342324068074im	-0.2087817141791258 - 0.010811342324068069im	-0.021732499467611886 - 0.023316178742469332im
0.03773999657274052 + 0.0im	-0.23095074916231356 - 0.0342229492226597im	-0.2089193882039033 - 0.010912447158054277im	-0.20891938820390332 - 0.010912447158054277im	-0.022031364474430746 - 0.023310502064547753im
0.03811739653846793 + 0.0im	-0.2313924048709624 - 0.034320602534759735im	-0.20905944049734584 - 0.011015019778130155im	-0.20905944049734584 - 0.011015019778130153im	-0.02233296710580065 - 0.02330558275657061im
0.03849857050385261 + 0.0im	-0.2318392470888382 - 0.03442052043673516im	-0.2092019133115447 - 0.01111908262335939im	-0.2092019133115447 - 0.01111908262335939im	-0.022637336481302773 - 0.023301437813315617im
0.03888355620889113 + 0.0im	-0.23229134806422516 - 0.0345227434665164im	-0.20934685030308503 - 0.011224658788975446im	-0.209346850303085 - 0.011224658788975446im	-0.02294450043677712 - 0.02329808467747954im
0.03927239177098005 + 0.0im	-0.232748781644013 - 0.034627313330160336im	-0.20949429636612354 - 0.01133177206584669im	-0.20949429636612354 - 0.01133177206584669im	-0.023254487924940156 - 0.023295541264251048im
0.03966511568868985 + 0.0im	-0.2332116235837949 - 0.03473427296837995im	-0.2096442976136482 - 0.011440446981466925im	-0.20964429761364822 - 0.011440446981466927im	-0.023567328588385845 - 0.023293825986849214im
0.040061766845576746 + 0.0im	-0.2336799515558537 - 0.0348436666256584im	-0.20979690141155544 - 0.011550708842528264im	-0.20979690141155544 - 0.011550708842528255im	-0.023883052767564954 - 0.02329295778306514im
0.040462384514032515 + 0.0im	-0.23415384529976876 - 0.034955539922047155im	-0.20995215653059637 - 0.011662583779135937im	-0.20995215653059632 - 0.011662583779135934im	-0.02420169136969636 - 0.023292956142845024im
0.04086700835917284 + 0.0im	-0.23463338668869663 - 0.03506993992774996im	-0.21011011277884864 - 0.011776098790728008im	-0.21011011277884864 - 0.011776098790728004im	-0.024523276810564276 - 0.023293841136954596im
0.04127567844276457 + 0.0im	-0.23511866102655374 - 0.03518691524060289im	-0.21027082261519256 - 0.011891281793766079im	-0.21027082261519256 - 0.011891281793766074im	-0.024847840911575332 - 0.023295633446768296im
0.04168843522719222 + 0.0im	-0.23560975187574937 - 0.03530651606656241im	-0.21043433704364306 - 0.012008161671266008im	-0.210434337043643 - 0.012008161671266001im	-0.02517541730210723 - 0.023298354395226723im
0.04210531957946414 + 0.0im	-0.2361067527932061 - 0.035428794303321715im	-0.21060071102149291 - 0.012126768324241477im	-0.21060071102149291 - 0.012126768324241474im	-0.025506040078495638 - 0.023302025979009447im
0.04252637277525878 + 0.0im	-0.23660974597926135 - 0.035553803627179074im	-0.210770000100383 - 0.012247132725135876im	-0.210770000100383 - 0.012247132725135869im	-0.025839744153605702 - 0.023306670901971242im
0.04295163650301137 + 0.0im	-0.23711882835268686 - 0.035681599583287794im	-0.21094226132533325 - 0.012369286973321798im	-0.21094226132533325 - 0.012369286973321793im	-0.026176565269621224 - 0.02331231260989292im
0.043381152868041485 + 0.0im	-0.23763409163789811 - 0.03581223967942361im	-0.21111755250649603 - 0.01249326435275067im	-0.21111755250649603 - 0.012493264352750666im	-0.026516537574210183 - 0.023318975326598813im
0.0438149643967219 + 0.0im	-0.23815563883743784 - 0.03594578348340991im	-0.2112959342047285 - 0.01261909939183839im	-0.21129593420472847 - 0.012619099391838388im	-0.02685970280575717 - 0.02332668409149629im
0.04425311404068912 + 0.0im	-0.23868357113997857 - 0.03608229272434679im	-0.21147746912836632 - 0.0127468279256762im	-0.21147746912836632 - 0.012746827925676198im	-0.02720609802731796 - 0.023335464798594288im
0.04469564518109601 + 0.0im	-0.23921797927882157 - 0.036221831397796694im	-0.2116622187707013 - 0.012876487160659757im	-0.21166221877070127 - 0.012876487160659757im	-0.027555761578578176 - 0.02334534423705954im
0.045142601632906974 + 0.0im	-0.23975898114801217 - 0.03636446587508297im	-0.21185024861232313 - 0.01300811574163216im	-0.21185024861232304 - 0.013008115741632147im	-0.027908733686895566 - 0.023356350133372405im
0.04559402764923604 + 0.0im	-0.24030667979093495 - 0.03651026501686577im	-0.2120416246729122 - 0.013141753821640975im	-0.21204162467291227 - 0.01314175382164097im	-0.028265055379324232 - 0.02336851119514532im
0.0460499679257284 + 0.0im	-0.24086118259982994 - 0.03665930029116191im	-0.21223641535118576 - 0.013277443134411785im	-0.21223641535118576 - 0.013277443134411785im	-0.028624768633041038 - 0.02338185715666962im
0.046510467604985686 + 0.0im	-0.24142260726410342 - 0.036811645895984645im	-0.2124346899882075 - 0.013415227069644653im	-0.2124346899882075 - 0.013415227069644644im	-0.02898791405669401 - 0.023396418826258467im
0.04697557228103554 + 0.0im	-0.2419910614777631 - 0.03696737888678078im	-0.21263651985850832 - 0.013555150751242888im	-0.21263651985850832 - 0.013555150751242886im	-0.02935454112589417 - 0.023412228135455366im
0.0474453280038459 + 0.0im	-0.24256666789430664 - 0.03712657930885082im	-0.21284197815126696 - 0.013697261118587123im	-0.21284197815126693 - 0.013697261118587125im	-0.029724690182551205 - 0.02342931819018017im
0.047919781283884355 + 0.0im	-0.24314954724736618 - 0.03728933033494083im	-0.21305113967906278 - 0.013841607010969826im	-0.21305113967906278 - 0.013841607010969812im	-0.03009840822836931 - 0.023447723323886515im
0.0483989790967232 + 0.0im	-0.2437398230758781 - 0.037455718408201014im	-0.2132640804595177 - 0.013988239255309688im	-0.2132640804595177 - 0.013988239255309677im	-0.030475741953852525 - 0.023467479152805892im
0.048882968887690434 + 0.0im	-0.24433761715472108 - 0.03762583339070873im	-0.21348088053587141 - 0.01413721075726666im	-0.21348088053587144 - 0.014137210757266648im	-0.03085673932843432 - 0.023488622633355643im
0.04937179857656734 + 0.0im	-0.2449430721937248 - 0.0377997687177604im	-0.21370161931045567 - 0.014288576595882303im	-0.21370161931045567 - 0.014288576595882297im	-0.03124144930516245 - 0.023511192121790765im
0.04986551656233301 + 0.0im	-0.24555630269581472 - 0.03797762155813871im	-0.2139263773861322 - 0.01444239412187153im	-0.21392637738613215 - 0.014442394121871533im	-0.03162992196616236 - 0.02353522743617891im
0.05036417172795634 + 0.0im	-0.24617745030133995 - 0.03815949298056542im	-0.21415523965120933 - 0.014598723059694604im	-0.21415523965120933 - 0.014598723059694597im	-0.03202220763444801 - 0.023560769920781644im
0.0508678134452359 + 0.0im	-0.24680665634638413 - 0.038345488126554465im	-0.21438829271296647 - 0.014757625613539885im	-0.21438829271296647 - 0.014757625613539885im	-0.03241835965242659 - 0.023587862512924527im
0.05137649157968826 + 0.0im	-0.24744405719947896 - 0.03853571638988087im	-0.2146256227247547 - 0.014919166577349343im	-0.2146256227247547 - 0.01491916657734933im	-0.032818430484111094 - 0.02361654981244065im
0.05189025649548514 + 0.0im	-0.2480897983106591 - 0.03873029160288414im	-0.21486731976055176 - 0.01508341344901997im	-0.21486731976055176 - 0.015083413449019966im	-0.03322247454910966 - 0.023646878153772394im
0.05240915906044 + 0.0im	-0.2487440266059979 - 0.03892933222982569im	-0.21511347530218924 - 0.015250436548915567im	-0.2151134753021892 - 0.015250436548915561im	-0.033630547291617546 - 0.023678895680817488im
0.0529332506510444 + 0.0im	-0.24940688643091805 - 0.03913296156752071im	-0.21536418068971688 - 0.01542030914282252im	-0.21536418068971688 - 0.015420309142822513im	-0.03404270543879711 - 0.023712652424604696im
0.053462583157554845 + 0.0im	-0.2500785381340826 - 0.03934130795346425im	-0.21561952844144394 - 0.015593107569484585im	-0.21561952844144394 - 0.015593107569484567im	-0.034459004730262845 - 0.023748200383885393im
0.053997208989130394 + 0.0im	-0.25075913934459165 - 0.03955450498167093im	-0.21587962887650766 - 0.015768911372849328im	-0.21587962887650772 - 0.015768911372849324im	-0.034879507687683886 - 0.02378559360872652im
0.054537181079021696 + 0.0im	-0.2514488445797144 - 0.039772691726444216im	-0.21614457571979334 - 0.015947803439159042im	-0.21614457571979326 - 0.015947803439159036im	-0.0353042714734032 - 0.0238248882871893im
0.05508255288981191 + 0.0im	-0.25214781626602856 - 0.03999601297428975im	-0.2164144585491797 - 0.016129870139015352im	-0.2164144585491797 - 0.016129870139015345im	-0.03573335802213329 - 0.02386614283517776im
0.05563337841871003 + 0.0im	-0.2528562213157024 - 0.04022461946418111im	-0.21668939569601764 - 0.016315201474545477im	-0.21668939569601767 - 0.016315201474545463im	-0.03616682487754397 - 0.023909417989538252im
0.05618971220289713 + 0.0im	-0.2535742247552692 - 0.04045866813638207im	-0.21696947801916264 - 0.016503891231793556im	-0.21696947801916264 - 0.01650389123179355im	-0.036604744477378465 - 0.02395477690449041im
0.0567516093249261 + 0.0im	-0.25430200104141165 - 0.04069832239002094im	-0.21725482323915832 - 0.0166960371384561im	-0.21725482323915832 - 0.016696037138456087im	-0.037047173885779675 - 0.024002285251466048im
0.05731912541817536 + 0.0im	-0.25503972281132825 - 0.04094375234960506im	-0.21754553664436402 - 0.016891741027075594im	-0.21754553664436396 - 0.016891741027075583im	-0.03749418627483524 - 0.024052011322429918im
0.057892316672357114 + 0.0im	-0.25578756692976656 - 0.041195135140652143im	-0.2178417283506298 - 0.017091109003799558im	-0.2178417283506298 - 0.01709110900379955im	-0.03794583597024463 - 0.024104026136752416im
0.05847123983908069 + 0.0im	-0.2565457139151334 - 0.04145265517460443im	-0.21814351235622426 - 0.01729425162280492im	-0.21814351235622426 - 0.017294251622804915im	-0.03840220213833746 - 0.024158403551698668im
0.059055952237471496 + 0.0im	-0.25731434934546754 - 0.041716504443175643im	-0.2184509999243108 - 0.017501284066479217im	-0.2184509999243108 - 0.017501284066479213im	-0.03886334690718801 - 0.024215220376594904im
0.05964651175984621 + 0.0im	-0.25809365509355536 - 0.041986882822266244im	-0.21876431027893828 - 0.017712326331439075im	-0.21876431027893828 - 0.017712326331439064im	-0.03932933580999456 - 0.024274556490725057im
0.060242976877444676 + 0.0im	-0.2588838221146984 - 0.04226399838556431im	-0.21908356013989025 - 0.017927503420456972im	-0.2190835601398903 - 0.01792750342045696im	-0.03980025241663457 - 0.024336494965004604im
0.060845406646219125 + 0.0im	-0.2596850480495688 - 0.04254806772792709im	-0.21940887562622688 - 0.018146945540353024im	-0.21940887562622688 - 0.018146945540353017im	-0.040276170745891966 - 0.024401122187470772im
0.061453860712681316 + 0.0im	-0.26049750588322546 - 0.0428393162986176im	-0.219740361835859 - 0.01837078830589466im	-0.21974036183585896 - 0.018370788305894652im	-0.04075714275543125 - 0.02446852799261908im
0.06206839931980813 + 0.0im	-0.2613214125554417 - 0.04313797874444307im	-0.220078155143508 - 0.018599172949732345im	-0.22007815514350798 - 0.018599172949732328im	-0.0412432609073761 - 0.024538805794606346im
0.06268908331300621 + 0.0im	-0.2621569607683905 - 0.043444299262815844im	-0.22042236970121007 - 0.01883224653838061im	-0.22042236970120996 - 0.018832246538380608im	-0.041734587997044874 - 0.02461205272433033im
0.06331597414613627 + 0.0im	-0.263004355230582 - 0.043758531964723624im	-0.22077314924517796 - 0.019070162194235386im	-0.2207731492451779 - 0.019070162194235386im	-0.04223120397989765 - 0.024688369770382818im
0.06394913388759763 + 0.0im	-0.2638637835438384 - 0.044080941247564974im	-0.22113061092504277 - 0.019313079323597583im	-0.22113061092504277 - 0.019313079323597573im	-0.042733192675093346 - 0.02476786192386148im
0.0645886252264736 + 0.0im	-0.26473548405594205 - 0.04441180217776595im	-0.2214948653801546 - 0.019561163850649585im	-0.2214948653801546 - 0.01956116385064958im	-0.043240613540731686 - 0.02485063832700999im
0.06523451147873834 + 0.0im	-0.2656196368670321 - 0.04475140088305531im	-0.22186607047125104 - 0.019814588457306815im	-0.22186607047125104 - 0.0198145884573068im	-0.04375356219229699 - 0.0249368124256417im
0.06588685659352572 + 0.0im	-0.266516463961025 - 0.04510003495423099im	-0.22224435670030027 - 0.020073532828839426im	-0.22224435670030024 - 0.020073532828839415im	-0.04427210638323435 - 0.025026502125284372im
0.06654572515946099 + 0.0im	-0.2674261559486688 - 0.04545801385620368im	-0.22262982346098545 - 0.02033818390512994im	-0.2226298234609854 - 0.020338183905129932im	-0.04479632466171001 - 0.02511982995096609im
0.0672111824110556 + 0.0im	-0.26834894516263336 - 0.04582565934805233im	-0.22302263573136671 - 0.02060873613740212im	-0.2230226357313668 - 0.020608736137402113im	-0.04532630426165575 - 0.025216923210542194im
0.06788329423516616 + 0.0im	-0.26928504877421616 - 0.04620330591177236im	-0.22342293488651713 - 0.020885391750221725im	-0.2234229348865171 - 0.020885391750221714im	-0.04586211717331535 - 0.02531791416144229im
0.06856212717751782 + 0.0im	-0.2702346444562774 - 0.04659130118933831im	-0.22383080882459908 - 0.021168361008534965im	-0.22383080882459913 - 0.02116836100853495im	-0.0464038456737014 - 0.025422940180694627im
0.069247748449293 + 0.0im	-0.2711979847211496 - 0.04699000642764108im	-0.224246426687976 - 0.021457862489471964im	-0.22424642668797598 - 0.021457862489471954im	-0.046951559304486044 - 0.02553214393806013im
0.06994022593378593 + 0.0im	-0.27217526976179107 - 0.04739979693079475im	-0.2246699145778846 - 0.021754123358601853im	-0.2246699145778846 - 0.02175412335860185im	-0.04750535647295481 - 0.025645673572083603im
0.07063962819312379 + 0.0im	-0.2731667185485668 - 0.047821062519235354im	-0.22510140213755606 - 0.02205737965028333im	-0.22510140213755597 - 0.02205737965028331im	-0.048065313690066176 - 0.02576368286884246im
0.07134602447505503 + 0.0im	-0.27417252791901514 - 0.048254207994963626im	-0.22554103681284318 - 0.022367876551708903im	-0.22554103681284318 - 0.022367876551708885im	-0.048631502654523595 - 0.025886331443144922im
0.07205948471980558 + 0.0im	-0.2751929333533409 - 0.04869965361220253im	-0.22598892819026728 - 0.022685868690193543im	-0.2259889281902674 - 0.02268586869019353im	-0.04920399848500355 - 0.026013784921898955im
0.07278007956700364 + 0.0im	-0.27622812374466366 - 0.04915783555266037im	-0.22644524407773647 - 0.02301162042320772im	-0.22644524407773647 - 0.02301162042320771im	-0.04978288949996545 - 0.026146215129342402im
0.07350788036267367 + 0.0im	-0.2772783349906768 - 0.04962920640450326im	-0.22691007307427385 - 0.023345406130601914im	-0.22691007307427397 - 0.023345406130601903im	-0.05036824977641798 - 0.02628380027379087im
0.0742429591663004 + 0.0im	-0.27834373982480054 - 0.050114235644051514im	-0.22738359104359215 - 0.023687510508415544im	-0.2273835910435921 - 0.023687510508415534im	-0.05096015811917277 - 0.026426725135525325im
0.0749853887579634 + 0.0im	-0.2794245655251209 - 0.0506134101191196im	-0.22786589194298254 - 0.0240382288636038im	-0.22786589194298257 - 0.024038228863603784im	-0.05155867920462425 - 0.02657518125540498im
0.07573524264554303 + 0.0im	-0.280521011239033 - 0.05112723453282292im	-0.2283571135664649 - 0.024397867408958312im	-0.2283571135664649 - 0.024397867408958312im	-0.05216390326641017 - 0.026729367123753654im
