w	A_d_u-A_d_u	A_d_d-A_d_u	A_d_u-A_d_d	A_d_d-A_d_d
-0.0029548141359286126 + 0.0im	-0.7237802970762527 - 1.087862605450387im	-5.775546752535943 + 0.839535045558677im	-5.775546752535943 + 0.839535045558677im	5.051766524825309 - 1.9273976510089763im
-0.002925558550424369 + 0.0im	-0.7262492622369838 - 1.0873681735072318im	-5.774290703620789 + 0.8380197141740195im	-5.774290703620792 + 0.8380197141740199im	5.048041481122145 - 1.9253878876811672im
-0.0028965926241825432 + 0.0im	-0.7286929289655463 - 1.086882996750653im	-5.773053692408456 + 0.8365246618346606im	-5.773053692408456 + 0.8365246618346605im	5.0443608328459595 - 1.9234076585852253im
-0.0028679134892896467 + 0.0im	-0.731111506418326 - 1.086406859248896im	-5.77183538404381 + 0.8350495141010053im	-5.77183538404381 + 0.8350495141010055im	5.040723966967073 - 1.9214563733498158im
-0.002839518306227373 + 0.0im	-0.7335053057655334 - 1.0859395515023849im	-5.770635464240306 + 0.8335939068412669im	-5.770635464240306 + 0.8335939068412666im	5.0371302432166765 - 1.9195334583435653im
-0.0028114042635914585 + 0.0im	-0.7358745642986464 - 1.0854808702070504im	-5.769453599767606 + 0.8321574858476984im	-5.769453599767606 + 0.8321574858476986im	5.033579076777056 - 1.9176383560546628im
-0.002783568577813325 + 0.0im	-0.7382196444134996 - 1.0850306180271598im	-5.768289486011748 + 0.8307399064682499im	-5.768289486011748 + 0.8307399064682496im	5.030069883078397 - 1.9157705244953247im
-0.00275600849288448 + 0.0im	-0.7405408199128355 - 1.084588603377323im	-5.7671428138424385 + 0.8293408332531548im	-5.7671428138424385 + 0.8293408332531548im	5.0266020828011895 - 1.9139294366303887im
-0.0027287212800836437 + 0.0im	-0.7428382745394045 - 1.0841546402133457im	-5.766013285918498 + 0.8279599396159959im	-5.766013285918498 + 0.8279599396159958im	5.023175081752212 - 1.9121145798292543im
-0.002701704237706578 + 0.0im	-0.7451123426151558 - 1.0837285478316612im	-5.764900600643503 + 0.8265969075087682im	-5.764900600643503 + 0.8265969075087684im	5.019788348965988 - 1.910325455340343im
-0.002674954690798592 + 0.0im	-0.7473632596741583 - 1.0833101506769776im	-5.763804487800104 + 0.8252514271104752im	-5.763804487800104 + 0.8252514271104753im	5.0164412453282985 - 1.908561577787365im
-0.002648469990889695 + 0.0im	-0.7495912842583655 - 1.0828992781578652im	-5.762724627372031 + 0.8239231965287581im	-5.762724627372035 + 0.8239231965287577im	5.0131334132823495 - 1.9068224746865383im
-0.002622247515732371 + 0.0im	-0.75179669381452 - 1.082495764469959im	-5.761660773003297 + 0.8226119215141456im	-5.761660773003297 + 0.8226119215141453im	5.009864145530681 - 1.9051076859840184im
-0.0025962846690419515 + 0.0im	-0.7539797292702044 - 1.082099448426479im	-5.760612634569566 + 0.8213173151863995im	-5.760612634569566 + 0.8213173151863993im	5.006632917891917 - 1.9034167636127928im
-0.0025705788802395557 + 0.0im	-0.7561406522848511 - 1.0817101732957677im	-5.759579951217852 + 0.8200390977725265im	-5.759579951217852 + 0.8200390977725261im	5.003439385779251 - 1.901749271068207im
-0.00254512760419758 + 0.0im	-0.7582796816378602 - 1.0813277866455546im	-5.758562457145163 + 0.8187769963560082im	-5.758562457145163 + 0.8187769963560081im	5.000282865367684 - 1.900104783001474im
-0.002519928320987703 + 0.0im	-0.7603970432534032 - 1.0809521401936488im	-5.757559908079952 + 0.817530744636783im	-5.757559908079952 + 0.817530744636783im	4.997162906976242 - 1.8984828848303452im
-0.0024949785356313888 + 0.0im	-0.7624930455662775 - 1.080583089664787im	-5.756572033496018 + 0.8163000827015446im	-5.756572033496018 + 0.8163000827015446im	4.99407903004196 - 1.8968831723662438im
-0.0024702757778528603 + 0.0im	-0.764567886272362 - 1.0802204946533562im	-5.755598594608471 + 0.8150847568039377im	-5.755598594608471 + 0.8150847568039373im	4.991030750510803 - 1.895305251457208im
-0.0024458176018345153 + 0.0im	-0.7666218302719474 - 1.0798642184917453im	-5.754639348209439 + 0.8138845191542099im	-5.754639348209439 + 0.81388451915421im	4.988017585055994 - 1.893748737645868im
-0.0024216015859747676 + 0.0im	-0.7686550475793433 - 1.0795141281240195im	-5.75369405644703 + 0.8126991277179219im	-5.75369405644703 + 0.8126991277179219im	4.985039093113232 - 1.8922132558418534im
-0.002397625332648285 + 0.0im	-0.7706677816491733 - 1.0791700939847166im	-5.75276247577811 + 0.8115283460232972im	-5.75276247577811 + 0.8115283460232972im	4.982094717361246 - 1.8906984400079259im
-0.0023738864679685987 + 0.0im	-0.7726602785266328 - 1.078831989882497im	-5.751844401959173 + 0.8103719429768431im	-5.751844401959173 + 0.8103719429768431im	4.97918421417901 - 1.8892039328592538im
-0.002350382641553068 + 0.0im	-0.7746327066148697 - 1.0784996928884212im	-5.750939594892104 + 0.8092296926868328im	-5.750939594892104 + 0.8092296926868325im	4.976306930855394 - 1.8877293855751678im
