w	A_d_u-A_d_u	A_d_d-A_d_u	A_d_u-A_d_d	A_d_d-A_d_d
0.0028965926241825432 + 0.0im	-1.2368529720111812 - 1.0563724129423047im	-5.635339106287259 + 0.5861651712456045im	-5.635339106287259 + 0.5861651712456049im	4.398486204846928 - 1.6425375841879715im
0.002925558550424369 + 0.0im	-1.2397026942485034 - 1.0565706562266142im	-5.635194677940495 + 0.5850242420837377im	-5.635194677940495 + 0.5850242420837375im	4.395492045340862 - 1.6415948983104123im
0.0029548141359286126 + 0.0im	-1.2425870033563764 - 1.056775890345591im	-5.635055436399406 + 0.5838709131155693im	-5.635055436399403 + 0.5838709131155693im	4.392468495612418 - 1.640646803461221im
0.0029843622772878988 + 0.0im	-1.2455063882177404 - 1.0569883548531855im	-5.634921598570765 + 0.5827049902080059im	-5.634921598570765 + 0.5827049902080058im	4.389415289177972 - 1.6396933450612536im
0.003014205900060778 + 0.0im	-1.2484613686197528 - 1.0572082990364926im	-5.634793368400856 + 0.5815262732436242im	-5.634793368400856 + 0.5815262732436243im	4.386332062996394 - 1.6387345722801783im
0.0030443479590613856 + 0.0im	-1.2514525291346452 - 1.0574359823749435im	-5.634670975508888 + 0.5803345558342925im	-5.634670975508888 + 0.5803345558342927im	4.383218508675601 - 1.6377705382092989im
0.0030747914386519996 + 0.0im	-1.2544804204551994 - 1.0576716750217992im	-5.6345546490874 + 0.5791296250209016im	-5.6345546490874 + 0.5791296250209016im	4.380074290994522 - 1.6368013000427617im
0.0031055393530385195 + 0.0im	-1.257545621493617 - 1.0579156583088827im	-5.634444648468513 + 0.5779112609587306im	-5.634444648468513 + 0.5779112609587304im	4.376899066278522 - 1.6358269192676775im
0.0031365947465689047 + 0.0im	-1.2606486883311727 - 1.0581682252753912im	-5.634341135519013 + 0.5766792365879372im	-5.634341135519013 + 0.5766792365879371im	4.373692510545343 - 1.63484746186339im
0.0031679606940345937 + 0.0im	-1.2637902424110476 - 1.0584296812217386im	-5.634244447502734 + 0.5754333172887021im	-5.634244447502734 + 0.5754333172887018im	4.3704542681457506 - 1.6338629985105038im
0.0031996403009749395 + 0.0im	-1.2669708932697359 - 1.0587003442892997im	-5.634154809683265 + 0.5741732605205042im	-5.634154809683265 + 0.5741732605205044im	4.36718398454306 - 1.6328736048098642im
0.003231636703984689 + 0.0im	-1.2701912374044977 - 1.0589805460669617im	-5.634072515146526 + 0.5728988154450566im	-5.634072515146526 + 0.5728988154450567im	4.363881319043921 - 1.6318793615120804im
0.003263953071024536 + 0.0im	-1.273451923998065 - 1.0592706322253995im	-5.633997773639097 + 0.5716097225323876im	-5.633997773639097 + 0.5716097225323874im	4.360545911470916 - 1.6308803547578514im
0.0032965926017347815 + 0.0im	-1.2767535540423518 - 1.0595709631799441im	-5.63393086133376 + 0.5703057131495827im	-5.63393086133376 + 0.5703057131495829im	4.357177354701932 - 1.6298766763295907im
0.003329558527752129 + 0.0im	-1.28009686504177 - 1.0598819147829295im	-5.633872158375457 + 0.5689865091317001im	-5.633872158375457 + 0.5689865091317003im	4.353775324411371 - 1.6288684239146942im
0.0033628541130296505 + 0.0im	-1.2834824758356813 - 1.0602038790463812im	-5.633821863290812 + 0.5676518223343796im	-5.633821863290812 + 0.5676518223343797im	4.3503394290791775 - 1.6278557013808255im
0.003396482654159947 + 0.0im	-1.286911048779875 - 1.0605372648958968im	-5.633780275448082 + 0.5663013541676665im	-5.633780275448082 + 0.5663013541676665im	4.346869301560831 - 1.6268386190636273im
0.0034304474807015464 + 0.0im	-1.290383301238173 - 1.0608824989565173im	-5.633747766042654 + 0.5649347951106044im	-5.633747766042654 + 0.5649347951106043im	4.343364527913424 - 1.6258172940671847im
0.003464751955508562 + 0.0im	-1.2938999780831681 - 1.0612400263713913im	-5.633724636101452 + 0.5635518242061395im	-5.633724636101452 + 0.5635518242061393im	4.339824730789761 - 1.6247918505775956im
0.0034993994750636475 + 0.0im	-1.297461718619515 - 1.0616103116539723im	-5.633711155787968 + 0.5621521085359239im	-5.633711155787968 + 0.5621521085359237im	4.336249505739374 - 1.6237624201899616im
0.003534393469814284 + 0.0im	-1.3010693188048603 - 1.061993839574463im	-5.633707741450823 + 0.5607353026745995im	-5.633707741450823 + 0.5607353026745997im	4.33263846275698 - 1.622729142249127im
0.003569737404512427 + 0.0im	-1.3047235027031412 - 1.06239111608116im	-5.633714651338963 + 0.5593010481232007im	-5.633714651338963 + 0.5593010481232008im	4.328991194875634 - 1.6216921642044266im
0.003605434778557551 + 0.0im	-1.3084250338569088 - 1.0628026692573092im	-5.633732263493605 + 0.5578489727213082im	-5.633732263493605 + 0.5578489727213083im	4.325307268910083 - 1.6206516419786823im
0.003641489126343127 + 0.0im	-1.3121746831589345 - 1.0632290503140076im	-5.633760901424476 + 0.5563786900376508im	-5.633760901424476 + 0.5563786900376508im	4.321586298714199 - 1.619607740351723im
0.003677904017606558 + 0.0im	-1.3159732475338013 - 1.0636708346196329im	-5.633800987681639 + 0.5548897987388688im	-5.633800987681639 + 0.554889798738869im	4.3178278226216 - 1.6185606333585663im
0.0037146830577826236 + 0.0im	-1.3198214998321083 - 1.0641286227661912im	-5.633852870430105 + 0.5533818819362055im	-5.633852870430105 + 0.5533818819362056im	4.314031429788349 - 1.617510504702459im
0.00375182988836045 + 0.0im	-1.3237202965532504 - 1.0646030416728935im	-5.633916956603904 + 0.5518545065099282im	-5.633916956603904 + 0.5518545065099284im	4.310196711340919 - 1.6164575481828865im
0.003789348187244054 + 0.0im	-1.327670423801213 - 1.0650947457271822im	-5.633993536971935 + 0.5503072224113654im	-5.633993536971935 + 0.5503072224113654im	4.306323151240336 - 1.6154019681386134im
0.0038272416691164947 + 0.0im	-1.3316727382088334 - 1.0656044179633162im	-5.634083044949324 + 0.5487395619424439im	-5.634083044949324 + 0.5487395619424438im	4.302410370165688 - 1.6143439799058248im
0.0038655140858076596 + 0.0im	-1.3357280799369078 - 1.066132771278528im	-5.6341859672832415 + 0.5471510390127398im	-5.6341859672832415 + 0.5471510390127398im	4.298457918934963 - 1.6132838102913336im
0.0039041692266657364 + 0.0im	-1.3398373071084242 - 1.066680549686635im	-5.6343026120960245 + 0.5455411483740892im	-5.634302612096027 + 0.5455411483740892im	4.294465312157798 - 1.612221698060788im
0.003943210918932394 + 0.0im	-1.3440013240653803 - 1.067248529608837im	-5.634433380838931 + 0.5439093648328766im	-5.634433380838931 + 0.5439093648328766im	4.290432095102659 - 1.611157894441779im
0.003982643028121718 + 0.0im	-1.3482210478291516 - 1.0678375212013482im	-5.634578802294764 + 0.5422551424402279im	-5.634578802294764 + 0.5422551424402278im	4.286357811213672 - 1.610092663641641im
0.004022469458402935 + 0.0im	-1.352497275809855 - 1.068448369719288im	-5.634739227766839 + 0.5405779136603954im	-5.634739227766839 + 0.5405779136603953im	4.282242008255049 - 1.6090262833797497im
0.004062694152986965 + 0.0im	-1.3568310074488552 - 1.0690819569161563im	-5.634915115043776 + 0.5388770885177401im	-5.634915115043773 + 0.5388770885177406im	4.278084178047674 - 1.60795904543396im
0.0041033210945168345 + 0.0im	-1.36122308212277 - 1.0697392024780057im	-5.635106867053642 + 0.5371520537228022im	-5.635106867053642 + 0.5371520537228022im	4.273883841688297 - 1.6068912562008721im
0.004144354305462003 + 0.0im	-1.36567449332743 - 1.0704210654912636im	-5.635314974242552 + 0.5354021717780649im	-5.635314974242554 + 0.5354021717780647im	4.269640539969949 - 1.6058232372693915im
0.004185797848516623 + 0.0im	-1.3701861684710424 - 1.071128545942943im	-5.63553987657381 + 0.5336267800641521im	-5.63553987657381 + 0.5336267800641521im	4.265353767999505 - 1.604755326007159im
0.004227655827001789 + 0.0im	-1.3747590549434943 - 1.0718626862518028im	-5.635781999474455 + 0.5318251899072836im	-5.635781999474451 + 0.5318251899072837im	4.261023027300075 - 1.6036878761591498im
0.004269932385271807 + 0.0im	-1.3793940762953323 - 1.0726245728287616im	-5.636041898112699 + 0.5299966856289879im	-5.636041898112699 + 0.5299966856289878im	4.2566478844627085 - 1.6026212584578143im
0.0043126317091245255 + 0.0im	-1.3840922292103752 - 1.0734153376646962im	-5.63631991462301 + 0.5281405235791876im	-5.63631991462301 + 0.5281405235791877im	4.2522277433917495 - 1.601555861243948im
0.00435575802621577 + 0.0im	-1.3888544944942038 - 1.074236159943443im	-5.636616603599599 + 0.5262559311539083im	-5.636616603599599 + 0.5262559311539085im	4.247762116209849 - 1.6004920910974163im
0.004399315606477928 + 0.0im	-1.3936817486635482 - 1.0750882676776587im	-5.636932362007149 + 0.5243421057990495im	-5.636932362007149 + 0.5243421057990495im	4.24325066214061 - 1.5994303734767752im
0.004443308762542707 + 0.0im	-1.3985750855553378 - 1.075972939364857im	-5.637267712428821 + 0.522398214001784im	-5.637267712428821 + 0.5223982140017838im	4.238692703511617 - 1.5983711533667042im
0.004487741850168134 + 0.0im	-1.403535436530669 - 1.07689150566069im	-5.637623166641521 + 0.5204233902713384im	-5.637623166641521 + 0.5204233902713383im	4.234087796297531 - 1.5973148959320924im
0.0045326192686698154 + 0.0im	-1.4085638072581539 - 1.0778453510663215im	-5.63799915197966 + 0.518416736111073im	-5.63799915197966 + 0.518416736111073im	4.229435398857794 - 1.596262087177459im
0.004577945461356514 + 0.0im	-1.4136610520358344 - 1.0788359156263247im	-5.638396125104551 + 0.5163773189839687im	-5.638396125104551 + 0.5163773189839684im	4.2247350673040645 - 1.5952132346103571im
0.0046237249159700785 + 0.0im	-1.4188283081822415 - 1.0798646966333478im	-5.638814591191771 + 0.5143041712738115im	-5.638814591191775 + 0.5143041712738118im	4.219986290433853 - 1.5941688679072223im
0.004669962165129779 + 0.0im	-1.4240664840403585 - 1.0809332503354332im	-5.63925497838084 + 0.5121962892445542im	-5.63925497838084 + 0.5121962892445542im	4.215188528027702 - 1.5931295395800515im
0.004716661786781077 + 0.0im	-1.4293766413609876 - 1.0820431936415464im	-5.6397178269139 + 0.5100526320005474im	-5.6397178269139 + 0.5100526320005475im	4.210341252229478 - 1.5920958256421576im
0.0047638284046488885 + 0.0im	-1.4347594847735259 - 1.0831962058205615im	-5.640203509239744 + 0.5078721204505223im	-5.640203509239744 + 0.5078721204505222im	4.205444006020902 - 1.5910683262711443im
0.004811466688695377 + 0.0im	-1.4402161749184976 - 1.0843940301886184im	-5.64071254546088 + 0.505653636278433im	-5.640712545460883 + 0.505653636278433im	4.200496362091116 - 1.5900476664671128im
0.004859581355582331 + 0.0im	-1.4457476615577505 - 1.085638475779426im	-5.641245328640596 + 0.5033960209244484im	-5.641245328640596 + 0.5033960209244481im	4.195497715381179 - 1.5890344967039363im
0.0049081771691381545 + 0.0im	-1.4513548201875028 - 1.0869314189917176im	-5.641802427609975 + 0.5010980745796487im	-5.641802427609975 + 0.5010980745796488im	4.190447578702619 - 1.5880294935714292im
0.004957258940829536 + 0.0im	-1.457038536952262 - 1.088274805207761im	-5.642384157406626 + 0.49875855519814877im	-5.642384157406626 + 0.49875855519814877im	4.185345511967468 - 1.587033360405972im
0.005006831530237831 + 0.0im	-1.4627996840377624 - 1.089670650376427im	-5.642990821313011 + 0.4963761775306285im	-5.642990821313011 + 0.4963761775306285im	4.180191189726481 - 1.5860468279071187im
0.005056899845540209 + 0.0im	-1.4686392254892011 - 1.0911210425540208im	-5.64362306317771 + 0.4939496121834487im	-5.64362306317771 + 0.4939496121834487im	4.174983894399535 - 1.5850706547375315im
0.005107468843995612 + 0.0im	-1.4745579983995816 - 1.092628143395679im	-5.64428118697744 + 0.4914774847077758im	-5.64428118697744 + 0.49147748470777597im	4.16972326063727 - 1.5841056281035182im
0.005158543532435568 + 0.0im	-1.4805567705124032 - 1.0941941895898057im	-5.644965555327766 + 0.48895837472333065im	-5.644965555327763 + 0.48895837472333076im	4.164408854174198 - 1.5831525643131985im
0.005210128967759923 + 0.0im	-1.4866363607259747 - 1.095821494227715im	-5.645676524009107 + 0.48639081508161525im	-5.645676524009107 + 0.48639081508161536im	4.159040245264513 - 1.5822123093093905im
0.005262230257437522 + 0.0im	-1.4927975600800303 - 1.097512448100219im	-5.646414467559141 + 0.48377329107368877im	-5.6464144675591434 + 0.4837732910736888im	4.153616906172361 - 1.5812857391739696im
0.005314852560011897 + 0.0im	-1.499040977395402 - 1.0992695209126593im	-5.647179633362864 + 0.48110423968775407im	-5.647179633362864 + 0.48110423968775407im	4.1481386038268155 - 1.5803737606004749im
0.0053680010856120165 + 0.0im	-1.505367547289634 - 1.1010952624095067im	-5.647972397455822 + 0.4783820489220457im	-5.647972397455822 + 0.4783820489220457im	4.142604871322683 - 1.579477311331613im
0.005421681096468137 + 0.0im	-1.5117775907928017 - 1.1029923033993336im	-5.648792893677558 + 0.4756050571586888im	-5.648792893677558 + 0.47560505715868895im	4.137015273612398 - 1.5785973605580828im
0.005475897907432818 + 0.0im	-1.5182718697509359 - 1.104963356670702im	-5.64964138556731 + 0.4727715526044026im	-5.64964138556731 + 0.4727715526044025im	4.131369511123414 - 1.577734909275165im
0.005530656886507146 + 0.0im	-1.5248509638419927 - 1.1070112177892144im	-5.650518190135239 + 0.46987977280409315im	-5.650518190135239 + 0.469879772804093im	4.12566728234037 - 1.5768909905933695im
0.005585963455372217 + 0.0im	-1.5315152987998115 - 1.1091387657656604im	-5.651423406941539 + 0.4669279042335471im	-5.651423406941536 + 0.4669279042335472im	4.119908145566667 - 1.5760666699992676im
0.005641823089925939 + 0.0im	-1.5382654124637347 - 1.1113489635850422im	-5.652357244175179 + 0.4639140819776099im	-5.652357244175179 + 0.4639140819776099im	4.114091798571082 - 1.5752630455627128im
0.005698241320825199 + 0.0im	-1.5451014789588553 - 1.1136448585859489im	-5.653319612519419 + 0.4608363895003484im	-5.653319612519419 + 0.46083638950034855im	4.108218094146318 - 1.5744812480863561im
0.005755223734033451 + 0.0im	-1.5520239487899854 - 1.1160295826795972im	-5.654310710687343 + 0.4576928585138486im	-5.654310710687343 + 0.45769285851384856im	4.1022867206017475 - 1.5737224411935047im
0.005812775971373785 + 0.0im	-1.559033026635079 - 1.1185063523976935im	-5.655330470079494 + 0.4544814689523892im	-5.655330470079494 + 0.454481468952389im	4.096297511153753 - 1.572987821350141im
0.005870903731087523 + 0.0im	-1.5661288132180666 - 1.1210784687581041im	-5.656378934000451 + 0.4512001490588308im	-5.656378934000451 + 0.4512001490588311im	4.0902501117867835 - 1.572278617816994im
0.005929612768398399 + 0.0im	-1.5733114046278633 - 1.1237493169372343im	-5.657455936330046 + 0.447846775590123im	-5.657455936330046 + 0.447846775590123im	4.08414460544862 - 1.5715960925274155im
0.005988908896082383 + 0.0im	-1.580580770888159 - 1.1265223657379553im	-5.658561374896899 + 0.4444191741488879im	-5.658561374896903 + 0.44441917414888776im	4.077980660762167 - 1.570941539886902im
0.006048797985043207 + 0.0im	-1.5879368510068967 - 1.1294011668418489im	-5.65969505473932 + 0.44091511964804175im	-5.65969505473932 + 0.44091511964804175im	4.071758251034804 - 1.570316286489948im
0.006109285964893639 + 0.0im	-1.595379374554751 - 1.1323893538346026im	-5.660856674873045 + 0.43733233691543744im	-5.660856674873045 + 0.43733233691543744im	4.0654773467054115 - 1.569721690750098im
0.0061703788245425755 + 0.0im	-1.602908060140868 - 1.135490640993395im	-5.6620459472030555 + 0.4336685014454536im	-5.6620459472030555 + 0.4336685014454536im	4.0591379105251955 - 1.569159142438905im
0.006232082612788002 + 0.0im	-1.6105224828318605 - 1.1387088218252142im	-5.663262438002271 + 0.4299212403044222im	-5.663262438002269 + 0.42992124030442225im	4.0527399972596925 - 1.568630062129693im
0.006294403438915882 + 0.0im	-1.6182221008343627 - 1.142047767345247im	-5.664505706438231 + 0.42608813319667377im	-5.664505706438231 + 0.4260881331966739im	4.046283649267188 - 1.5681359005419786im
0.00635734747330504 + 0.0im	-1.6260062718696966 - 1.1455114240845992im	-5.665775247804309 + 0.42216671369788006im	-5.665775247804309 + 0.42216671369788006im	4.0397690009762 - 1.5676781377825364im
0.006420920948038091 + 0.0im	-1.6338742652177283 - 1.1491038118168992im	-5.667070414040044 + 0.41815447066219535im	-5.667070414040047 + 0.41815447066219547im	4.0331961961763705 - 1.5672582824791508im
0.006485130157518472 + 0.0im	-1.6418250902834277 - 1.1528290209936636im	-5.668390523212567 + 0.4140488498095335im	-5.668390523212567 + 0.41404884980953355im	4.02656547985957 - 1.5668778708032531im
0.006549981459093656 + 0.0im	-1.6498576867848218 - 1.1566912098785922im	-5.669734802517138 + 0.409847255499081im	-5.669734802517138 + 0.4098472554990811im	4.019877125991067 - 1.5665384653777283im
0.006615481273684593 + 0.0im	-1.6579709750546021 - 1.1606946013714659im	-5.671102336750839 + 0.4055470526948761im	-5.671102336750839 + 0.405547052694876im	4.01313142957742 - 1.566241654066398im
0.006681636086421439 + 0.0im	-1.6661635749096446 - 1.1648434795127196im	-5.672492284165528 + 0.4011455691290177im	-5.672492284165528 + 0.40114556912901744im	4.006328754051396 - 1.5659890486417918im
0.006748452447285653 + 0.0im	-1.6744340126637627 - 1.1691421856603674im	-5.673903607930123 + 0.3966400976676889im	-5.673903607930123 + 0.3966400976676889im	3.999469506701208 - 1.5657822833281116im
0.0068159369717585095 + 0.0im	-1.682780619057243 - 1.1735951143315178im	-5.675334925777823 + 0.3920278988848473im	-5.675334925777823 + 0.3920278988848473im	3.992554350631949 - 1.5656230132164206im
0.006884096341476095 + 0.0im	-1.6912016048411351 - 1.178206708701402im	-5.676785237328315 + 0.38730620384798087im	-5.676785237328315 + 0.38730620384798103im	3.9855836735510843 - 1.5655129125494383im
0.006952937304890856 + 0.0im	-1.6996949854993975 - 1.1829814557535752im	-5.6782531100160485 + 0.3824722171199052im	-5.6782531100160485 + 0.3824722171199052im	3.978558174374682 - 1.5654536728735353im
0.007022466677939764 + 0.0im	-1.7082586134568667 - 1.1879238810757173im	-5.6797370847497906 + 0.37752311998006294im	-5.6797370847497906 + 0.3775231199800628im	3.9714785087155864 - 1.565447001055834im
0.007092691344719162 + 0.0im	-1.716890155424585 - 1.1930385432963535im	-5.6812356295656645 + 0.3724560738682591im	-5.6812356295656645 + 0.3724560738682589im	3.964345490113038 - 1.5654946171646669im
0.007163618258166354 + 0.0im	-1.7255871301453747 - 1.1983300281587157im	-5.682746983523135 + 0.36726822405318693im	-5.682746983523135 + 0.367268224053187im	3.957159872132865 - 1.5655982522119565im
0.007235254440748017 + 0.0im	-1.7343466737943143 - 1.20380294222897im	-5.684269320406654 + 0.3619567035274916im	-5.684269320406654 + 0.36195670352749176im	3.9499226805359324 - 1.5657596457565155im
0.0073076069851554975 + 0.0im	-1.7431660558497215 - 1.209461906237059im	-5.685800829857078 + 0.3565186371304568im	-5.685800829857078 + 0.356518637130457im	3.9426348109666107 - 1.5659805433675684im
0.007380683055007053 + 0.0im	-1.7520421083312139 - 1.215311548049554im	-5.6873394208103445 + 0.35095114589871385im	-5.6873394208103445 + 0.3509511458987141im	3.935297370530352 - 1.5662626939483189im
0.007454489885557123 + 0.0im	-1.76097149498892 - 1.2213564952750622im	-5.688882891222672 + 0.34525135164464127im	-5.688882891222669 + 0.3452513516446412im	3.927911454137558 - 1.5666078469197562im
0.007529034784412694 + 0.0im	-1.7699507028215966 - 1.2276013675039577im	-5.690428949199762 + 0.33941638176136146im	-5.690428949199759 + 0.33941638176136163im	3.920478284694226 - 1.567017749265371im
0.007604325132256821 + 0.0im	-1.778975994371217 - 1.2340507681855188im	-5.69197518026409 + 0.33344337425243525im	-5.69197518026409 + 0.33344337425243514im	3.912999180011092 - 1.5674941424380053im
0.0076803683835793895 + 0.0im	-1.7880433920323948 - 1.2407092761468494im	-5.693518948695977 + 0.3273294829835369im	-5.693518948695977 + 0.3273294829835368im	3.9054755810814594 - 1.568038759130438im
0.007757172067415183 + 0.0im	-1.7971487488602234 - 1.247581436759386im	-5.6950575941155765 + 0.32107188315251384im	-5.6950575941155765 + 0.3210718831525139im	3.897908883225479 - 1.5686533199119514im
0.007834743788089335 + 0.0im	-1.8062876434768635 - 1.254671752760213im	-5.696588306344111 + 0.3146677769733647im	-5.696588306344111 + 0.31466777697336445im	3.890300678674696 - 1.5693395297336286im
0.00791309122597023 + 0.0im	-1.815455467892067 - 1.2619846747368568im	-5.698108020677811 + 0.3081143995687348im	-5.6981080206778145 + 0.30811439956873476im	3.882652596263167 - 1.5700990743056418im
0.007992222138229931 + 0.0im	-1.8246473100271112 - 1.2695245912857969im	-5.699613631563552 + 0.3014090250646065im	-5.699613631563552 + 0.3014090250646065im	3.8749663788792357 - 1.570933616350454im
0.00807214435961223 + 0.0im	-1.833858103552898 - 1.2772958188564039im	-5.701101915427294 + 0.2945489728798898im	-5.701101915427294 + 0.29454897287988985im	3.8672438515075416 - 1.5718447917363447im
0.008152865803208353 + 0.0im	-1.8430825182628965 - 1.2853025912936527im	-5.70256938907571 + 0.2875316142026618im	-5.70256938907571 + 0.2875316142026615im	3.859486929689797 - 1.5728342054963647im
0.008234394461240436 + 0.0im	-1.852314991692202 - 1.2935490490944974im	-5.704012517484674 + 0.2803543786437882im	-5.704012517484674 + 0.2803543786437883im	3.851697610909693 - 1.5739034277383355im
0.00831673840585284 + 0.0im	-1.8615496974656238 - 1.3020392283944522im	-5.705427618107542 + 0.27301476105770184im	-5.705427618107542 + 0.2730147610577017im	3.8438779809489922 - 1.5750539894522038im
0.008399905789911368 + 0.0im	-1.8707805708551402 - 1.310777049702489im	-5.7068107712368645 + 0.2655103285190633im	-5.7068107712368645 + 0.2655103285190634im	3.83603027354836 - 1.5762873782216014im
0.008483904847810482 + 0.0im	-1.8800014382824761 - 1.3197663064040146im	-5.708158027269167 + 0.2578387274430748im	-5.708158027269167 + 0.25783872744307473im	3.8281566652901833 - 1.577605033847138im
0.008568743896288587 + 0.0im	-1.8892056910474737 - 1.3290106530533157im	-5.7094652870261635 + 0.24999769083617093im	-5.7094652870261635 + 0.24999769083617102im	3.8202596552447377 - 1.5790083438895353im
0.008654431335251473 + 0.0im	-1.8983866076736737 - 1.3385135934784274im	-5.710728134549178 + 0.24198504566285373im	-5.710728134549181 + 0.24198504566285362im	3.8123416000022132 - 1.5804986391413303im
0.008740975648603988 + 0.0im	-1.9075372049034631 - 1.3482784687229945im	-5.711942222800734 + 0.2337987203134303im	-5.711942222800734 + 0.23379872031343021im	3.80440506663727 - 1.5820771890364744im
0.008828385405090029 + 0.0im	-1.916650259829176 - 1.3583084448512548im	-5.713102969076056 + 0.22543675215646347im	-5.713102969076052 + 0.2254367521564635im	3.796452732575634 - 1.583745197007766im
0.00891666925914093 + 0.0im	-1.9257183590152533 - 1.3686065006437844im	-5.714205625040541 + 0.21689729515879758im	-5.714205625040541 + 0.21689729515879763im	3.7884872498852245 - 1.5855037958026301im
0.009005835951732339 + 0.0im	-1.9347337579229669 - 1.3791754152131324im	-5.715245314684836 + 0.20817862755509717im	-5.715245314684836 + 0.2081786275550972im	3.780511599064373 - 1.5873540427682755im
0.009095894311249662 + 0.0im	-1.9436887378917982 - 1.3900177555699131im	-5.716217192974637 + 0.19927915954796444im	-5.716217192974637 + 0.19927915954796452im	3.7725284880671075 - 1.5892969151179257im
0.009186853254362158 + 0.0im	-1.9525749269023362 - 1.401135864171286im	-5.717115901560903 + 0.19019744101884598im	-5.7171159015609065 + 0.19019744101884623im	3.7645409621641424 - 1.5913333051901803im
0.00927872178690578 + 0.0im	-1.9613844120750343 - 1.4125318464850638im	-5.717936396575951 + 0.18093216922913113im	-5.717936396575951 + 0.18093216922913097im	3.756552009692076 - 1.5934640157142408im
0.009371509004774839 + 0.0im	-1.9701083210252868 - 1.4242075586039118im	-5.718673184619101 + 0.17148219649008817im	-5.718673184619101 + 0.1714821964900882im	3.7485649009546367 - 1.5956897550940459im
0.009465224094822587 + 0.0im	-1.978738060952352 - 1.4361645949452713im	-5.719320809325401 + 0.1618465377795809im	-5.719320809325401 + 0.16184653777958083im	3.7405828010823727 - 1.5980111327249im
0.009559876335770812 + 0.0im	-1.98726473034041 - 1.4484042760736688im	-5.719873715104244 + 0.1520243782828507im	-5.719873715104244 + 0.15202437828285065im	3.7326088892589917 - 1.600428654356562im
0.00965547509912852 + 0.0im	-1.9956792406522217 - 1.460927636683008im	-5.720325971210902 + 0.1420150808340646im	-5.720325971210902 + 0.14201508083406472im	3.724646747524881 - 1.6029427175171187im
0.009752029850119805 + 0.0im	-2.0039723881839424 - 1.4737354137773921im	-5.720671952277416 + 0.13181819323481564im	-5.720671952277416 + 0.13181819323481556im	3.716699608683094 - 1.605553607012254im
0.009849550148621003 + 0.0im	-2.012134672829601 - 1.486828035089577im	-5.720905748793406 + 0.12143345542529782im	-5.720905748793406 + 0.12143345542529804im	3.70877095241928 - 1.6082614905149202im
0.009948045650107214 + 0.0im	-2.0201565694115584 - 1.5002056077769577im	-5.721021144049364 + 0.1108608064835224im	-5.721021144049364 + 0.11086080648352246im	3.700864462556682 - 1.6110664142605253im
0.010047526106608286 + 0.0im	-2.028028309271931 - 1.5138679074353216im	-5.72101206753233 + 0.10010039142763474im	-5.72101206753233 + 0.10010039142763466im	3.6929837474725553 - 1.6139682988629982im
0.010148001367674369 + 0.0im	-2.035740181047667 - 1.5278143674710292im	-5.720872435876427 + 0.08915256779619034im	-5.720872435876424 + 0.08915256779619032im	3.685132277285689 - 1.6169669352672646im
0.010249481381351112 + 0.0im	-2.04328215047919 - 1.5420440688724446im	-5.720595968038011 + 0.07801791198113041im	-5.720595968038014 + 0.07801791198113044im	3.6773138758401704 - 1.6200619808536216im
0.010351976195164623 + 0.0im	-2.0506441337653296 - 1.556555730421497im	-5.7201760584170005 + 0.06669722528815829im	-5.7201760584170005 + 0.06669722528815829im	3.6695322155271617 - 1.6232529557096986im
0.010455495957116269 + 0.0im	-2.057815941124087 - 1.5713476993861688im	-5.719607109301693 + 0.055191539699299345im	-5.719607109301693 + 0.055191539699299345im	3.661791135318021 - 1.6265392390855138im
0.010560050916687432 + 0.0im	-2.064787415327199 - 1.5864179427344336im	-5.718881821211035 + 0.04350212331257636im	-5.718881821211035 + 0.04350212331257643im	3.6540943760306974 - 1.6299200660470556im
0.010665651425854307 + 0.0im	-2.0715482682103135 - 1.6017640389097434im	-5.717994164710012 + 0.03163048543400887im	-5.717994164710012 + 0.03163048543400869im	3.6464458212966187 - 1.6333945243437942im
0.01077230794011285 + 0.0im	-2.0780882236841474 - 1.6173831702075785im	-5.716937434751757 + 0.01957838129749752im	-5.716937434751757 + 0.019578381297497564im	3.6388492845372586 - 1.6369615515051184im
0.010880031019513979 + 0.0im	-2.084396748561034 - 1.6332721157918588im	-5.715705308196902 + 0.0073478163886389536im	-5.715705308196902 + 0.00734781638863885im	3.631308623711886 - 1.6406199321805388im
0.010988831329709119 + 0.0im	-2.090463554351941 - 1.6494272453890209im	-5.714291187668301 - 0.00505894965092422im	-5.714291187668301 - 0.005058949650924179im	3.623827712510928 - 1.6443682957381416im
0.01109871964300621 + 0.0im	-2.0962782572585597 - 1.6658445136965483im	-5.712688601890524 - 0.017639399561324615im	-5.712688601890524 - 0.01763939956132471im	3.616410420374627 - 1.6482051141352652im
0.011209706839436272 + 0.0im	-2.101830501388959 - 1.6825194555414191im	-5.710891009129819 - 0.030390755466388347im	-5.710891009129819 - 0.03039075546638818im	3.609060586282128 - 1.6521287000750746im
0.011321803907830635 + 0.0im	-2.1071099796356023 - 1.699447181822554im	-5.708892015884147 - 0.04330997636068664im	-5.708892015884147 - 0.0433099763606867im	3.601782057411022 - 1.656137205461912im
0.011435021946908942 + 0.0im	-2.1121064184246716 - 1.7166223762697068im	-5.706685003921564 - 0.05639375610176554im	-5.706685003921564 - 0.0563937561017655im	3.594578663125549 - 1.6602286201679857im
