w	self_d_u-A_d_u	self_d_d-A_d_u	self_d_u-A_d_d	self_d_d-A_d_d
-8.760451814323197e-6 + 0.0im	-0.9622072263097162 - 0.029036757687492448im	-0.020725552921750975 - 0.17119021701978895im	-0.02072555292174915 - 0.17119021701978937im	-0.941481660790643 + 0.14215345933264179im
-8.67371466764673e-6 + 0.0im	-0.9622088834069453 - 0.029037084938039935im	-0.02072557986690218 - 0.17119009171831776im	-0.020725579866900375 - 0.17119009171831814im	-0.9414832909292294 + 0.14215300678062376im
-8.587836304600723e-6 + 0.0im	-0.9622105399677648 - 0.029037408992675602im	-0.020725602050496672 - 0.171189967251321im	-0.020725602050494896 - 0.17118996725132138im	-0.9414849252940036 + 0.1421525582589921im
-8.502808222376953e-6 + 0.0im	-0.962212196026085 - 0.029037729928447695im	-0.02072561955943397 - 0.1711898436016254im	-0.02072561955943221 - 0.17118984360162573im	-0.9414865638292915 + 0.14215211367352487im
-8.41862200235342e-6 + 0.0im	-0.9622138515549584 - 0.02903804782086921im	-0.020725632490051615 - 0.17118972075645222im	-0.020725632490049908 - 0.17118972075645264im	-0.9414882064137446 + 0.14215167293593128im
-8.33526930926081e-6 + 0.0im	-0.9622155065521677 - 0.029038362743563906im	-0.020725640933010665 - 0.1711895987074074im	-0.020725640933009 - 0.17118959870740783im	-0.9414898529540865 + 0.14215123596419244im
-8.252741890357238e-6 + 0.0im	-0.9622171610070447 - 0.029038674767925158im	-0.02072564497861467 - 0.17118947745043595im	-0.02072564497861294 - 0.1711894774504364im	-0.9414915033493152 + 0.14215080268286043im
-8.171031574611127e-6 + 0.0im	-0.9622188149021818 - 0.029038983962789658im	-0.020725644715332954 - 0.1711893569857417im	-0.020725644715331153 - 0.1711893569857421im	-0.9414931574935349 + 0.1421503730233025im
-8.090130271892205e-6 + 0.0im	-0.962220468235148 - 0.029039290394129617im	-0.020725640232314584 - 0.1711892373176738im	-0.02072564023231279 - 0.17118923731767416im	-0.9414948152952002 + 0.14214994692389538im
-8.0100299721705e-6 + 0.0im	-0.9622221209639255 - 0.02903959412476518im	-0.02072563161150098 - 0.17118911845457815im	-0.020725631611499318 - 0.17118911845457863im	-0.9414964766302971 + 0.14214952433016495im
-7.930722744723268e-6 + 0.0im	-0.9622237730751704 - 0.029039895214099852im	-0.020725618936583083 - 0.17118900040861923im	-0.02072561893658133 - 0.17118900040861948im	-0.9414981414018121 + 0.1421491051948721im
-7.85220073734977e-6 + 0.0im	-0.9622254245406867 - 0.029040193717881572im	-0.020725602286260376 - 0.1711888831955693im	-0.020725602286258585 - 0.1711888831955697im	-0.9414998095028434 + 0.14214868947804124im
-7.774456175593833e-6 + 0.0im	-0.9622270753372553 - 0.029040489687990678im	-0.020725581740050545 - 0.17118876683457im	-0.020725581740048765 - 0.17118876683457035im	-0.9415014808306654 + 0.1421482771469335im
-7.697481361974092e-6 + 0.0im	-0.9622287254264328 - 0.02904078317225716im	-0.02072555736594775 - 0.17118865134786723im	-0.020725557365946022 - 0.17118865134786776im	-0.9415031552788152 + 0.1421478681759651im
-7.621268675221874e-6 + 0.0im	-0.9622303747802253 - 0.029041074214308422im	-0.02072552923433679 - 0.17118853676052195im	-0.020725529234334947 - 0.17118853676052231im	-0.9415048327489125 + 0.14214746254656938im
-7.5458105695266075e-6 + 0.0im	-0.9622320233653865 - 0.029041362853449222im	-0.02072549741177842 - 0.17118842310009694im	-0.020725497411776764 - 0.17118842310009716im	-0.941506513141145 + 0.1421470602470041im
-7.47109957378872e-6 + 0.0im	-0.9622336711498602 - 0.029041649124574728im	-0.020725461964067785 - 0.17118831039632657im	-0.020725461964066192 - 0.1711883103963269im	-0.941508196357648 + 0.14214666127210912im
-7.397128290879921e-6 + 0.0im	-0.9622353180948461 - 0.029041933058117017im	-0.0207254229365406 - 0.17118819868076826im	-0.02072542293653904 - 0.17118819868076862im	-0.9415098823137286 + 0.14214626562300925im
-7.323889396910813e-6 + 0.0im	-0.9622369641697737 - 0.02904221468002631im	-0.020725380395692872 - 0.17118808798644075im	-0.020725380395691346 - 0.17118808798644117im	-0.9415115709149157 + 0.14214587330677333im
-7.251375640505755e-6 + 0.0im	-0.9622386093376406 - 0.02904249401178686im	-0.0207253343759756 - 0.17118797834745142im	-0.02072533437597401 - 0.17118797834745184im	-0.9415132620861014 + 0.142145484336024im
-7.179579842084906e-6 + 0.0im	-0.9622402535660984 - 0.029042771070467033im	-0.020725284928035527 - 0.17118786979861525im	-0.020725284928034035 - 0.17118786979861564im	-0.9415149557461416 + 0.14214509872850856im
-7.108494893153372e-6 + 0.0im	-0.9622418968247792 - 0.0290430458688038im	-0.020725232083704734 - 0.17118776237507105im	-0.020725232083703193 - 0.17118776237507152im	-0.9415166518326572 + 0.14214471650662824im
-7.038113755597398e-6 + 0.0im	-0.9622435390786722 - 0.029043318415321033im	-0.02072517588853623 - 0.17118765611189368im	-0.0207251758885345 - 0.17118765611189396im	-0.9415183502650578 + 0.14214433769693433im
-6.968429460987523e-6 + 0.0im	-0.9622451383388224 - 0.029043588714479904im	-0.020725116364325627 - 0.17118755104371028im	-0.02072511636432397 - 0.17118755104371064im	-0.9415200509950354 + 0.14214396232959278im
-6.899435109888637e-6 + 0.0im	-0.9622468204647527 - 0.02904385676686164im	-0.020725053538065377 - 0.1711874472043213im	-0.020725053538063767 - 0.1711874472043217im	-0.9415217539677224 + 0.14214359043782265im
-6.8311238711768685e-6 + 0.0im	-0.9622484595556555 - 0.029044122569379677im	-0.02072498741109764 - 0.17118734462632806im	-0.02072498741109598 - 0.17118734462632848im	-0.9415234591689755 + 0.14214322205731228im
-6.763488981363236e-6 + 0.0im	-0.9622500975239242 - 0.029044386115520533im	-0.020724918048983878 - 0.17118724334077418im	-0.020724918048982213 - 0.17118724334077454im	-0.9415251664815474 + 0.14214285722561812im
-6.696523743923996e-6 + 0.0im	-0.9622517343757212 - 0.029044647395611214im	-0.020724845420749975 - 0.17118714337679844im	-0.020724845420748376 - 0.17118714337679877im	-0.941526875943993 + 0.14214249598155235im
-6.630221528637619e-6 + 0.0im	-0.962253370088771 - 0.029044906397111058im	-0.020724769546771795 - 0.1711870447613076im	-0.020724769546770248 - 0.17118704476130797im	-0.9415285875132621 + 0.1421421383645623im
-6.564575770928336e-6 + 0.0im	-0.9622550046512256 - 0.029045163104925345im	-0.020724690431958716 - 0.17118694751866678im	-0.02072469043195735 - 0.17118694751866706im	-0.94153030117258 + 0.142141784414108im
-6.4995799712161745e-6 + 0.0im	-0.9622566380736708 - 0.029045417501738856im	-0.02072460806089934 - 0.17118685167041392im	-0.02072460806089774 - 0.17118685167041434im	-0.9415320169476763 + 0.1421414341690425im
-6.43522769427344e-6 + 0.0im	-0.9622582702912902 - 0.029045669568365462im	-0.02072452248631403 - 0.17118675723499763im	-0.020724522486312458 - 0.17118675723499804im	-0.9415337347218561 + 0.14214108766700018im
-6.371512568587564e-6 + 0.0im	-0.9622599013677539 - 0.029045919284113063im	-0.020724433646322912 - 0.17118666422754303im	-0.020724433646321306 - 0.17118666422754344im	-0.9415354546197743 + 0.14214074494379872im
-6.308428285730261e-6 + 0.0im	-0.9622615312841842 - 0.02904616662715787im	-0.020724341554478217 - 0.17118657265964632im	-0.020724341554476684 - 0.1711865726596467im	-0.9415371766093191 + 0.14214040603285757im
-6.245968599732931e-6 + 0.0im	-0.9622631600491129 - 0.02904641157492802im	-0.020724246201407167 - 0.17118648253919852im	-0.02072424620140554 - 0.17118648253919896im	-0.9415389007083879 + 0.14214007096464046im
-6.184127326468248e-6 + 0.0im	-0.9622647876753856 - 0.029046654104491358im	-0.020724147576096832 - 0.17118639387024434im	-0.020724147576095187 - 0.1711863938702448im	-0.9415406269408378 + 0.14213973976612376im
-6.12289834303787e-6 + 0.0im	-0.9622664142018615 - 0.029046894192945014im	-0.02072404565880585 - 0.1711863066528706im	-0.020724045658804303 - 0.171186306652871im	-0.9415423553654215 + 0.14213941246029685im
-6.062275587166207e-6 + 0.0im	-0.9622680395755808 - 0.029047131817803645im	-0.02072394046127994 - 0.17118622088313074im	-0.02072394046127844 - 0.17118622088313112im	-0.941544085916919 + 0.1421390890656994im
-6.002253056600205e-6 + 0.0im	-0.962269663901016 - 0.029047366957382692im	-0.02072383194277898 - 0.17118613655300444im	-0.02072383194277747 - 0.17118613655300488im	-0.9415458187410912 + 0.14213876959599464im
-5.942824808515055e-6 + 0.0im	-0.9622712871779509 - 0.029047599591173954im	-0.020723720099098685 - 0.1711860536503902im	-0.020723720099097148 - 0.17118605365039063im	-0.9415475538417228 + 0.14213845405958972im
-5.883984958925797e-6 + 0.0im	-0.9622729094397879 - 0.029047829700210224im	-0.02072360491610485 - 0.1711859721591346im	-0.0207236049161033 - 0.17118597215913509im	-0.9415492912663492 + 0.14213814245929843im
-5.825727682104749e-6 + 0.0im	-0.9622745307230803 - 0.029048057267415786im	-0.020723486380295572 - 0.17118589205909635im	-0.020723486380294087 - 0.1711858920590968im	-0.9415510310650238 + 0.1421378347920552im
-5.768047210004702e-6 + 0.0im	-0.9622761510669586 - 0.029048282277940454im	-0.020723364478754672 - 0.17118581332624275im	-0.020723364478752872 - 0.17118581332624327im	-0.9415527732897913 + 0.14213753104867768im
-5.710937831687824e-6 + 0.0im	-0.9622777705352897 - 0.029048504719473303im	-0.020723239208118124 - 0.17118573593278202im	-0.020723239208116164 - 0.17118573593278238im	-0.9415545180078929 + 0.1421372312136848im
-5.654393892760222e-6 + 0.0im	-0.9622793891266391 - 0.029048724582534734im	-0.02072311054025353 - 0.17118565984732498im	-0.020723110540252 - 0.1711856598473254im	-0.9415562652459906 + 0.1421369352651669im
-5.598409794812101e-6 + 0.0im	-0.9622810069296083 - 0.029048941860743617im	-0.02072297848266876 - 0.17118558503507986im	-0.02072297848266744 - 0.17118558503508044im	-0.9415580150852026 + 0.14213664317471356im
-5.5429799948634656e-6 + 0.0im	-0.9622826239859333 - 0.029049156551057557im	-0.020722843026087345 - 0.17118551145807553im	-0.020722843026085864 - 0.17118551145807587im	-0.9415597675765307 + 0.1421363549073958im
-5.488099004815313e-6 + 0.0im	-0.9622842403489203 - 0.029049368653984064im	-0.02072270416742594 - 0.1711854390754105im	-0.02072270416742446 - 0.1711854390754109im	-0.9415615227763604 + 0.1421360704218048im
-5.43376139090625e-6 + 0.0im	-0.9622858560739976 - 0.029049578173761217im	-0.02072256190655701 - 0.17118536784352972im	-0.020722561906555553 - 0.1711853678435301im	-0.9415632807402453 + 0.14213578967014742im
-5.379961773174505e-6 + 0.0im	-0.9622874712181049 - 0.0290497851185057im	-0.020722416246514466 - 0.1711852977165216im	-0.020722416246512918 - 0.17118529771652205im	-0.9415650415220846 + 0.14213551259839544im
-5.326694824925252e-6 + 0.0im	-0.9622890858489903 - 0.02904998950032775im	-0.020722289293631173 - 0.1711852286464371im	-0.02072228929362974 - 0.17118522864643748im	-0.9415668051574339 + 0.14213523914648937im
-5.27395527220322e-6 + 0.0im	-0.9622906999951077 - 0.02905019133541114im	-0.02072211475510254 - 0.17118516058362487im	-0.02072211475510125 - 0.17118516058362532im	-0.9415685717451109 + 0.1421349692485948im
-5.221737893270515e-6 + 0.0im	-0.9622923137460206 - 0.029050390644057955im	-0.02072195894799841 - 0.17118509347708266im	-0.020721958947997034 - 0.17118509347708308im	-0.9415703412800341 + 0.1421347028334061im
-5.170037518089618e-6 + 0.0im	-0.962293927149977 - 0.02905058745069797im	-0.020721799787233947 - 0.17118502727481824im	-0.020721799787232615 - 0.17118502727481874im	-0.9415721138213732 + 0.1421344398245026im
-5.118849027811503e-6 + 0.0im	-0.962295540265234 - 0.029050781783861723im	-0.020721637293579103 - 0.1711849619242222im	-0.02072163729357769 - 0.1711849619242226im	-0.9415738894065822 + 0.14213418014074328im
-5.068167354268815e-6 + 0.0im	-0.9622971531490999 - 0.029050973676118138im	-0.02072147149149603 - 0.1711848973724427im	-0.02072147149149465 - 0.1711848973724432im	-0.9415756680684201 + 0.14213392369670788im
-5.017987479474074e-6 + 0.0im	-0.9622987658575696 - 0.029051163163976955im	-0.02072130240914483 - 0.17118483356676495im	-0.020721302409143605 - 0.17118483356676528im	-0.9415774498343898 + 0.14213367040317165im
-4.968304435122846e-6 + 0.0im	-0.9623003784447063 - 0.029051350287756572im	-0.020721130076931243 - 0.17118477045498917im	-0.02072113007693011 - 0.1711847704549896im	-0.9415792347246202 + 0.14213342016761707im
-4.919113302101827e-6 + 0.0im	-0.9623019909646034 - 0.029051535091418442im	-0.020720954540724902 - 0.17118470798580482im	-0.020720954540723747 - 0.17118470798580532im	-0.9415810227678589 + 0.14213317289477134im
-4.870409210001809e-6 + 0.0im	-0.9623036034646215 - 0.029051717622369307im	-0.020720775824876646 - 0.17118464610915668im	-0.020720775824875172 - 0.17118464610915704im	-0.9415828139559433 + 0.1421329284871731im
-4.822187336635455e-6 + 0.0im	-0.96230521599354 - 0.029051897931232695im	-0.02072059398074381 - 0.17118458477660173im	-0.02072059398074248 - 0.1711845847766022im	-0.94158460830334 + 0.1421326868457552im
-4.774442907559857e-6 + 0.0im	-0.9623068285955727 - 0.029052076071592325im	-0.020720409053814195 - 0.17118452394165187im	-0.020720409053812793 - 0.17118452394165237im	-0.9415864058068689 + 0.1421324478704463im
-4.7271711956038185e-6 + 0.0im	-0.9623084413118677 - 0.029052252099707913im	-0.02072022109357652 - 0.1711844635601017im	-0.020720221093575183 - 0.17118446356010208im	-0.9415882064580735 + 0.1421322114607811im
-4.68036752039982e-6 + 0.0im	-0.9623100541802357 - 0.029052426074207195im	-0.020720030152497983 - 0.1711844035903347im	-0.020720030152496505 - 0.17118440359033532im	-0.9415900102426955 + 0.14213197751651557im
-4.634027247920614e-6 + 0.0im	-0.9623116672359774 - 0.029052598055756083im	-0.020719836285069067 - 0.171184343993613im	-0.020719836285067333 - 0.17118434399361354im	-0.9415918171448895 + 0.1421317459382452im
-4.58814579002041e-6 + 0.0im	-0.962313280494674 - 0.02905276810670953im	-0.020719639557879484 - 0.17118428473433564im	-0.020719639557877846 - 0.17118428473433606im	-0.9415936270784416 + 0.14213151662801513im
-4.542718603980604e-6 + 0.0im	-0.9623148940106178 - 0.029052936290746033im	-0.02071944001366329 - 0.17118422578027886im	-0.02071944001366203 - 0.17118422578027934im	-0.9415954401239424 + 0.14213128948992246im
-4.4977411920600035e-6 + 0.0im	-0.9623165077857261 - 0.029053102672489034im	-0.02071923772634758 - 0.1711841671028018im	-0.0207192377263463 - 0.1711841671028023im	-0.9415972561609192 + 0.14213106443070292im
-4.453209101049508e-6 + 0.0im	-0.9623181218413797 - 0.029053267317118013im	-0.02071903275694459 - 0.17118410867702666im	-0.020719032756943305 - 0.1711841086770271im	-0.9415990751591267 + 0.14213084136029921im
-4.409117921831196e-6 + 0.0im	-0.9623197361910635 - 0.02905343028997267im	-0.020718825169812955 - 0.17118405048198393im	-0.02071882516981169 - 0.17118405048198435im	-0.941600897068442 + 0.14213062019240236im
-4.3654632889417784e-6 + 0.0im	-0.9623213508434871 - 0.029053591656153357im	-0.020718615030335216 - 0.17118399250072866im	-0.020718615030334085 - 0.17118399250072905im	-0.9416027218323753 + 0.14213040084496698im
-4.3222408801403745e-6 + 0.0im	-0.9623229657993834 - 0.029053751480121258im	-0.020718402405371553 - 0.17118393472041982im	-0.020718402405370377 - 0.17118393472042032im	-0.9416045493848293 + 0.14213018324069068im
-4.279446415980569e-6 + 0.0im	-0.9623245810791013 - 0.029053909825301455im	-0.020718187355342223 - 0.1711838771323683im	-0.02071818735534075 - 0.17118387713236874im	-0.941606379685939 + 0.14212996730745972im
-4.237075659386702e-6 + 0.0im	-0.9623261966508873 - 0.02905406675369235im	-0.020717969953500958 - 0.17118381973204821im	-0.020717969953499532 - 0.17118381973204858im	-0.9416082126304588 + 0.1421297529787491im
-4.195124415234359e-6 + 0.0im	-0.9623278125211465 - 0.02905422232548459im	-0.0207177502608983 - 0.17118376251907455im	-0.020717750260896974 - 0.17118376251907505im	-0.9416100481638734 + 0.1421295401939837im
-4.153588529935009e-6 + 0.0im	-0.9623294286770419 - 0.029054376598692627im	-0.020717528341768512 - 0.17118370549714623im	-0.020717528341767218 - 0.17118370549714673im	-0.9416118862091006 + 0.14212932889884794im
-4.112463891024761e-6 + 0.0im	-0.9623310451032948 - 0.02905452962880231im	-0.020717304258661612 - 0.17118364867395536im	-0.020717304258660366 - 0.17118364867395577im	-0.941613726688311 + 0.1421291190455479im
-4.071746426757189e-6 + 0.0im	-0.9623326617602487 - 0.029054681468437545im	-0.020717078064438704 - 0.1711835920610631im	-0.020717078064437434 - 0.1711835920610636im	-0.9416155667968652 + 0.14212891059302088im
-4.031432105700187e-6 + 0.0im	-0.9623342786877735 - 0.029054832167047764im	-0.020716849840751967 - 0.17118353567374317im	-0.02071684984075065 - 0.1711835356737436im	-0.941617411916844 + 0.14212870350709111im
-3.991516936336819e-6 + 0.0im	-0.9623358958007129 - 0.029054981770621133im	-0.02071661962112781 - 0.17118347953079566im	-0.020716619621126565 - 0.17118347953079607im	-0.9416192592177436 + 0.1421284977605709im
-3.951996966670117e-6 + 0.0im	-0.9623375130916202 - 0.029055130321423008im	-0.020716387466334387 - 0.17118342365433076im	-0.020716387466333103 - 0.17118342365433126im	-0.9416211086314065 + 0.14212829333330468im
-3.9128682838317996e-6 + 0.0im	-0.9623391305231555 - 0.029055277857764752im	-0.020716153418333418 - 0.17118336806952553im	-0.02071615341833216 - 0.17118336806952597im	-0.9416229600784795 + 0.14212809021215814im
-3.874127013694851e-6 + 0.0im	-0.9623407480894672 - 0.029055424413802832im	-0.02071591755073918 - 0.17118331280435525im	-0.020715917550738035 - 0.17118331280435573im	-0.9416248134796392 + 0.14212788839095014im
-3.835769320489951e-6 + 0.0im	-0.9623423657306469 - 0.029055570019371417im	-0.020715679877816195 - 0.17118325788930283im	-0.020715679877815012 - 0.1711832578893034im	-0.9416266687605468 + 0.14212768787032978im
-3.7977914064256944e-6 + 0.0im	-0.9623439834263195 - 0.029055714699848377im	-0.020715440455637016 - 0.1711832033570473im	-0.020715440455635743 - 0.17118320335704781im	-0.9416285258448472 + 0.1421274886575978im
-3.760189511312569e-6 + 0.0im	-0.9623456011365338 - 0.029055858476058214im	-0.020715199309037417 - 0.17118314924213338im	-0.020715199309036293 - 0.17118314924213382im	-0.9416303846676499 + 0.14212729076647426im
-3.722959912190662e-6 + 0.0im	-0.9623472188313437 - 0.029056001364210188im	-0.020714956484310793 - 0.17118309558062808im	-0.02071495648430962 - 0.17118309558062866im	-0.9416322451529443 + 0.1421270942168176im
-3.6860989229610515e-6 + 0.0im	-0.9623488364727395 - 0.0290561433758745im	-0.020714712004367496 - 0.17118304240976492im	-0.02071471200436639 - 0.1711830424097654im	-0.9416341072580241 + 0.14212689903429065im
-3.649602894020843e-6 + 0.0im	-0.962350454030002 - 0.029056284517995537im	-0.020714465877186446 - 0.17118298976757826im	-0.020714465877185458 - 0.17118298976757879im	-0.9416359708885507 + 0.14212670524998347im
-3.6134682119018243e-6 + 0.0im	-0.9623520714680767 - 0.029056424792942726im	-0.020714218140693054 - 0.17118293769253273im	-0.020714218140691968 - 0.17118293769253326im	-0.9416378360276741 + 0.14212651289999126im
-3.577691298912697e-6 + 0.0im	-0.9623536887570804 - 0.0290565641985984im	-0.020713968799612327 - 0.17118288622314973im	-0.02071396879961122 - 0.17118288622315025im	-0.9416397026219797 + 0.14212632202495296im
-3.5422686127848485e-6 + 0.0im	-0.9623553058640301 - 0.029056702728482695im	-0.02071371788230551 - 0.17118283539763451im	-0.020713717882304496 - 0.17118283539763507im	-0.941641570609956 + 0.14212613266955376im
-3.507196646321632e-6 + 0.0im	-0.9623569227659045 - 0.029056840371913573im	-0.020713465372178608 - 0.17118278525350752im	-0.020713465372177515 - 0.1711827852535081im	-0.9416434399857054 + 0.14212594488199642im
-3.4724719270511207e-6 + 0.0im	-0.9623585394357711 - 0.029056977114201583im	-0.020713211282290343 - 0.17118273582724208im	-0.020713211282289205 - 0.1711827358272427im	-0.9416453107097241 + 0.14212575871344327im
-3.4380910168822977e-6 + 0.0im	-0.9623601558514582 - 0.02905711293687782im	-0.02071295561043486 - 0.17118268715391166im	-0.02071295561043401 - 0.17118268715391208im	-0.9416471827676154 + 0.14212557421743705im
-3.4040505117646513e-6 + 0.0im	-0.9623617719973218 - 0.029057247817952468im	-0.020712698349137033 - 0.17118263926685118im	-0.02071269834913627 - 0.1711826392668518im	-0.9416490561092736 + 0.14212539144930253im
-3.3703470413511396e-6 + 0.0im	-0.9623633878530916 - 0.029057381732203156im	-0.02071243949227891 - 0.17118259219733453im	-0.020712439492277877 - 0.17118259219733506im	-0.9416509307928204 + 0.14212521046553545im
-3.3369772686644945e-6 + 0.0im	-0.9623650034106898 - 0.02905751465148979im	-0.020712179025247527 - 0.17118254597426846im	-0.020712179025246497 - 0.17118254597426907im	-0.9416528067799442 + 0.14212503132318313im
-3.303937889766826e-6 + 0.0im	-0.962366610432026 - 0.029057646545093404im	-0.020711916932531875 - 0.17118250062391036im	-0.02071191693253091 - 0.17118250062391088im	-0.9416546840852182 + 0.14212485407922176im
-3.271225633432501e-6 + 0.0im	-0.9623682253731397 - 0.029057777380077553im	-0.020711653196029012 - 0.17118245616960814im	-0.020711653196028162 - 0.17118245616960873im	-0.941656562723395 + 0.14212467878993584im
-3.2388372608242586e-6 + 0.0im	-0.9623698400218424 - 0.02905790712166747im	-0.02071138778455766 - 0.17118241263156656im	-0.02071138778455669 - 0.17118241263156722im	-0.9416584427433107 + 0.1421245055103048im
-3.2067695651725334e-6 + 0.0im	-0.9623714543508554 - 0.029058035733645095im	-0.02071112069456641 - 0.17118237002664144im	-0.02071112069456527 - 0.17118237002664202im	-0.9416603241216898 + 0.1421243342934023im
-3.1750193714579536e-6 + 0.0im	-0.9623730683921912 - 0.02905816317875639im	-0.020710851884852013 - 0.1711823283681621im	-0.0207108518848509 - 0.1711823283681627im	-0.941662206935869 + 0.14212416518981216im
-3.143583536096984e-6 + 0.0im	-0.9623746821650305 - 0.02905828941912804im	-0.020710581331096538 - 0.17118228766578786im	-0.020710581331095417 - 0.17118228766578858im	-0.9416640912207493 + 0.14212399824706673im
-3.1124589466306772e-6 + 0.0im	-0.9623762956854726 - 0.029058414416689247im	-0.020710309004561386 - 0.17118224792539377im	-0.02071030900456027 - 0.1711822479253944im	-0.9416659770254637 + 0.14212383350911184im
-3.081642521416512e-6 + 0.0im	-0.9623779089778682 - 0.02905853813359573im	-0.02071003487552607 - 0.17118220914899135im	-0.020710034875525238 - 0.17118220914899182im	-0.9416678644040802 + 0.14212367101580317im
-3.0511312093232794e-6 + 0.0im	-0.962379522093624 - 0.029058660532652283im	-0.020709758910537304 - 0.17118217133468183im	-0.020709758910536568 - 0.17118217133468244im	-0.9416697534414922 + 0.14212351080243757im
-3.0209219894289894e-6 + 0.0im	-0.9623811350237002 - 0.029058781577730723im	-0.02070948108496742 - 0.1711821344766461im	-0.02070948108496656 - 0.1711821344766468im	-0.9416716441532008 + 0.14212335289932365im
-2.9910118707217715e-6 + 0.0im	-0.9623827478426162 - 0.029058901234178664im	-0.0207092013633195 - 0.17118209856516545im	-0.020709201363318455 - 0.171182098565166im	-0.941673536649278 + 0.14212319733139533im
-2.961397891803734e-6 + 0.0im	-0.9623843605875659 - 0.029059019469217153im	-0.02070891971640648 - 0.17118206358668003im	-0.020708919716405438 - 0.17118206358668053im	-0.9416754309960808 + 0.14212304411787174im
-2.9320771205977565e-6 + 0.0im	-0.9623859733073626 - 0.029059136252322513im	-0.020708636114863975 - 0.17118202952387807im	-0.020708636114862955 - 0.17118202952387862im	-0.9416773272717802 + 0.14212289327196503im
-2.9030466540571845e-6 + 0.0im	-0.9623875860554119 - 0.029059251555589978im	-0.020708350530444786 - 0.1711819963558196im	-0.02070835053044371 - 0.1711819963558202im	-0.9416792255580196 + 0.1421227448006392im
-2.8743036178784003e-6 + 0.0im	-0.9623891988897835 - 0.029059365354075713im	-0.020708062936289517 - 0.1711819640580904im	-0.020708062936288393 - 0.171181964058091im	-0.9416811259397178 + 0.14212259870442465im
-2.845845166216238e-6 + 0.0im	-0.9623908118666616 - 0.029059477626114365im	-0.020707773308289233 - 0.171181932602988im	-0.020707773308288335 - 0.17118193260298858im	-0.9416830284971559 + 0.1421224549772841im
-2.8176684814022158e-6 + 0.0im	-0.9623924250581223 - 0.02905958835360912im	-0.020707481622355247 - 0.17118190195973426im	-0.020707481622354276 - 0.17118190195973487im	-0.9416849333264946 + 0.14212231360653588im
-2.78977077366556e-6 + 0.0im	-0.9623940385270605 - 0.029059697522292458im	-0.02070718785883401 - 0.17118187209471655im	-0.020707187858832913 - 0.17118187209471705im	-0.9416868405102679 + 0.142122174572835im
-2.76214928085699e-6 + 0.0im	-0.9623956523440887 - 0.029059805121954503im	-0.020706891999863267 - 0.17118184297175232im	-0.020706891999862264 - 0.1711818429717529im	-0.9416887501369401 + 0.14212203785020916im
-2.7348012681752376e-6 + 0.0im	-0.9623972665815869 - 0.02905991114663744im	-0.020706594030510932 - 0.1711818145523768im	-0.02070659403050993 - 0.1711818145523773im	-0.9416906622938106 + 0.14212190340615063im
-2.7077240278962747e-6 + 0.0im	-0.9623988813137716 - 0.029060015594794163im	-0.02070629393879923 - 0.17118178679614923im	-0.02070629393879809 - 0.1711817867961499im	-0.9416925770670616 + 0.14212177120176706im
-2.6809148791052226e-6 + 0.0im	-0.9624004966162347 - 0.02906011846940958im	-0.020705991714931586 - 0.17118175966097943im	-0.020705991714930372 - 0.17118175966098im	-0.9416944945420709 + 0.14212164119198178im
-2.6543711674309133e-6 + 0.0im	-0.9624021125672672 - 0.029060219778083738im	-0.020705687367926297 - 0.17118173310346288im	-0.020705687367925496 - 0.1711817331034634im	-0.9416964147880782 + 0.1421215133257916im
-2.6280902647830825e-6 + 0.0im	-0.9624037292413387 - 0.029060319533075304im	-0.020705380867290374 - 0.1711817070792335im	-0.02070538086728971 - 0.17118170707923414im	-0.9416983379100654 + 0.14212138754657103im
-2.602069569092161e-6 + 0.0im	-0.9624053467183512 - 0.029060417751305797im	-0.020705072235700204 - 0.1711816815433209im	-0.020705072235699378 - 0.17118168154332145im	-0.9417002639652112 + 0.142121263792428im
-2.5763065040516445e-6 + 0.0im	-0.9624069650754195 - 0.02906051445432333im	-0.020704761474329147 - 0.1711816564505122im	-0.020704761474328308 - 0.17118165645051273im	-0.9417021930294296 + 0.14212114199660197im
-2.5507985188630145e-6 + 0.0im	-0.9624085843894832 - 0.029060609668227193im	-0.020704448591874654 - 0.17118163175571904im	-0.020704448591873818 - 0.17118163175571965im	-0.9417041251709103 + 0.14212102208790545im
-2.525543087983183e-6 + 0.0im	-0.9624102047364909 - 0.029060703423552648im	-0.020704133600800707 - 0.17118160741434071im	-0.020704133600799854 - 0.17118160741434127im	-0.9417060604530039 + 0.14212090399120175im
-2.5005377108744385e-6 + 0.0im	-0.9624118261908295 - 0.02906079575511734im	-0.020703816516956425 - 0.17118158338262254im	-0.0207038165169555 - 0.17118158338262318im	-0.9417079989336646 + 0.14212078762791933im
-2.47577991175687e-6 + 0.0im	-0.9624134488115108 - 0.029060886701830876im	-0.020703497348770934 - 0.17118155961801002im	-0.020703497348770108 - 0.17118155961801057im	-0.941709940631711 + 0.1421206729165934im
-2.4512672393632374e-6 + 0.0im	-0.9624150727153381 - 0.02906097630646769im	-0.02070317615551416 - 0.17118153607948758im	-0.020703176155513252 - 0.1711815360794881im	-0.9417118857099299 + 0.14212055977343455im
-2.4269972666962745e-6 + 0.0im	-0.9624166979211488 - 0.029061064615406553im	-0.02070285292367881 - 0.1711815127279077im	-0.020702852923678034 - 0.17118151272790827im	-0.9417138340873936 + 0.1421204481129159im
