-2.0 + 0.0im	7.338014217127344e-5 + 0.0im
-0.0590559522374715 + 0.0im	1.305746376771534 + 0.0im
-0.0584712398390807 + 0.0im	1.2984833768169037 + 0.0im
-0.0578923166723571 + 0.0im	1.291376300840368 + 0.0im
-0.0573191254181754 + 0.0im	1.284423728191568 + 0.0im
-0.0567516093249261 + 0.0im	1.2776242605997197 + 0.0im
-0.0561897122028971 + 0.0im	1.2709763873743436 + 0.0im
-0.05563337841871 + 0.0im	1.2644785340426716 + 0.0im
-0.0550825528898119 + 0.0im	1.2581291839008522 + 0.0im
-0.0545371810790217 + 0.0im	1.2519267001958831 + 0.0im
-0.0539972089891304 + 0.0im	1.2458694369882635 + 0.0im
-0.0534625831575548 + 0.0im	1.239955759637613 + 0.0im
-0.0529332506510444 + 0.0im	1.234183928535257 + 0.0im
-0.05240915906044 + 0.0im	1.2285522385591097 + 0.0im
-0.0518902564954851 + 0.0im	1.223058980792256 + 0.0im
-0.0513764915796883 + 0.0im	1.2177023451748386 + 0.0im
-0.0508678134452359 + 0.0im	1.212480580260515 + 0.0im
-0.0503641717279563 + 0.0im	1.2073918882109653 + 0.0im
-0.049865516562333 + 0.0im	1.2024344861328464 + 0.0im
-0.0493717985765673 + 0.0im	1.1976065714178665 + 0.0im
-0.0488829688876904 + 0.0im	1.1929063276422485 + 0.0im
-0.0483989790967232 + 0.0im	1.1883319179514635 + 0.0im
-0.0479197812838844 + 0.0im	1.1838815400330864 + 0.0im
-0.0474453280038459 + 0.0im	1.179553335529453 + 0.0im
-0.0469755722810355 + 0.0im	1.1753454876791734 + 0.0im
-0.0465104676049857 + 0.0im	1.1712561618021724 + 0.0im
-0.0460499679257284 + 0.0im	1.1672835766048597 + 0.0im
-0.045594027649236 + 0.0im	1.1634258988943442 + 0.0im
-0.045142601632907 + 0.0im	1.159681323532166 + 0.0im
-0.044695645181096 + 0.0im	1.1560480246964082 + 0.0im
-0.0442531140406891 + 0.0im	1.1525242259067812 + 0.0im
-0.0438149643967219 + 0.0im	1.1491081504086278 + 0.0im
-0.0433811528680415 + 0.0im	1.145798008894605 + 0.0im
-0.0429516365030114 + 0.0im	1.1425920595770358 + 0.0im
-0.0425263727752588 + 0.0im	1.139488610596807 + 0.0im
-0.0421053195794641 + 0.0im	1.1364858216378 + 0.0im
-0.0416884352271922 + 0.0im	1.1335820706606605 + 0.0im
-0.0412756784427646 + 0.0im	1.130775640641242 + 0.0im
-0.0408670083591728 + 0.0im	1.1280648707047372 + 0.0im
-0.0404623845140325 + 0.0im	1.125448081285369 + 0.0im
-0.0400617668455767 + 0.0im	1.1229236171287746 + 0.0im
-0.0396651156886898 + 0.0im	1.12048991905891 + 0.0im
-0.03927239177098 + 0.0im	1.118145376965215 + 0.0im
-0.0388835562088911 + 0.0im	1.115888382459366 + 0.0im
-0.0384985705038526 + 0.0im	1.1137174198191417 + 0.0im
-0.0381173965384679 + 0.0im	1.1116309567142149 + 0.0im
-0.0377399965727405 + 0.0im	1.109627489968537 + 0.0im
-0.0373663332403371 + 0.0im	1.1077055956093622 + 0.0im
-0.0369963695448883 + 0.0im	1.1058637150452264 + 0.0im
-0.036630068856325 + 0.0im	1.1041005024579107 + 0.0im
-0.0362673949072525 + 0.0im	1.1024145485458425 + 0.0im
-0.0359083117893589 + 0.0im	1.1008044736273572 + 0.0im
-0.0355527839498603 + 0.0im	1.0992689002225637 + 0.0im
-0.0352007761879805 + 0.0im	1.0978065332857496 + 0.0im
-0.0348522536514658 + 0.0im	1.0964160548646347 + 0.0im
-0.0345071818331345 + 0.0im	1.095096249135803 + 0.0im
-0.0341655265674599 + 0.0im	1.093845801300392 + 0.0im
-0.033827254027188 + 0.0im	1.09266356516445 + 0.0im
-0.0334923307199881 + 0.0im	1.0915482945233752 + 0.0im
-0.0331607234851368 + 0.0im	1.0904988622715013 + 0.0im
-0.0328323994902344 + 0.0im	1.0895141242649642 + 0.0im
-0.0325073262279549 + 0.0im	1.088592973932202 + 0.0im
-0.0321854715128266 + 0.0im	1.0877343202593595 + 0.0im
-0.0318668034780462 + 0.0im	1.0869371096547478 + 0.0im
-0.0315512905723229 + 0.0im	1.0862003249939218 + 0.0im
-0.0312389015567554 + 0.0im	1.085522962893219 + 0.0im
-0.030929605501738 + 0.0im	1.084904010591411 + 0.0im
-0.030623371783899 + 0.0im	1.084342526096318 + 0.0im
-0.0303201700830683 + 0.0im	1.0838376076692167 + 0.0im
-0.0300199703792756 + 0.0im	1.0833883330232243 + 0.0im
-0.0297227429497778 + 0.0im	1.0829938583420398 + 0.0im
-0.0294284583661166 + 0.0im	1.0826532630739107 + 0.0im
-0.0291370874912046 + 0.0im	1.0823657568284986 + 0.0im
-0.0288486014764402 + 0.0im	1.08213051884717 + 0.0im
-0.0285629717588517 + 0.0im	1.0819467445049284 + 0.0im
-0.028280170058269 + 0.0im	1.0818137255481823 + 0.0im
-0.0280001683745237 + 0.0im	1.0817306880442012 + 0.0im
-0.027722938984677 + 0.0im	1.0816969143056736 + 0.0im
