w	self_d-self_d	selfc_d-self_d	self_d-selfc_d	selfc_d-selfc_d
-9.970211343440852e-6 + 0.0im	-0.13268865769566535 - 4.837474033657668e-10im	-0.009908818214025462 + 7.736264071002553e-11im	-0.009908810677746223 + 7.345268602974664e-11im	0.06479154665467822 + 9.498146009202199e-12im
-9.871496379644408e-6 + 0.0im	-0.13269475607355372 - 4.832675915545687e-10im	-0.009907913894968626 + 7.754238237721207e-11im	-0.009907906359043603 + 7.360776941854183e-11im	0.06478555163686078 + 7.980086524808602e-12im
-9.773758791727137e-6 + 0.0im	-0.13270079231572737 - 4.825319739934191e-10im	-0.009907022986069595 + 7.766624284464597e-11im	-0.009907015450493077 + 7.370901478379166e-11im	0.06477961777236343 + 6.560013127111607e-12im
-9.676988902700135e-6 + 0.0im	-0.13270676708398813 - 4.815418798950007e-10im	-0.009906145261539434 + 7.773470703746046e-11im	-0.009906137726305869 + 7.375694677054354e-11im	0.06477374440847108 + 5.233479904014009e-12im
-9.581177131386272e-6 + 0.0im	-0.13271268103228515 - 4.802991322967045e-10im	-0.009905280499852913 + 7.77484011447212e-11im	-0.009905272964956845 + 7.375222869054396e-11im	0.06476793090023955 + 3.996133550940412e-12im
-9.486313991471557e-6 + 0.0im	-0.13271853480683068 - 4.78806025161709e-10im	-0.00990442848365863 + 7.770807591579923e-11im	-0.00990442094909473 + 7.369564572007064e-11im	0.06476217661038017 + 2.8437251359196776e-12im
-9.392390090565897e-6 + 0.0im	-0.13272432904621428 - 4.770653018608258e-10im	-0.009903588999691385 + 7.761459209218693e-11im	-0.009903581465454456 + 7.358809023857233e-11im	0.06475648090914714 + 1.772119406079052e-12im
-9.299396129273166e-6 + 0.0im	-0.1327300643815137 - 4.75080134756003e-10im	-0.00990276183868658 + 7.74689076766849e-11im	-0.00990275430477154 + 7.343054901039479e-11im	0.06475084317422657 + 7.773019676394186e-13im
-9.207322900270461e-6 + 0.0im	-0.13273574143640446 - 4.728541056484938e-10im	-0.009901946795296619 + 7.727206678063562e-11im	-0.00990193926169851 + 7.322409195060138e-11im	0.06474526279062816 - 1.446153688734953e-13im
-9.116161287396496e-6 + 0.0im	-0.1327413608272667 - 4.703911868918963e-10im	-0.009901143668009343 + 7.702518982390889e-11im	-0.009901136134723335 + 7.296986224990921e-11im	0.06473973915057885 - 9.973908220642836e-13im
-9.025902264749006e-6 + 0.0im	-0.13274692316329026 - 4.676957230030206e-10im	-0.009900352259068334 + 7.672946489221097e-11im	-0.009900344726089723 + 7.266906766361219e-11im	0.06473427165341847 - 1.7846502269587863e-12im
-8.936536895791094e-6 + 0.0im	-0.13275242904657716 - 4.647724126324285e-10im	-0.009899572374395064 + 7.638614008249273e-11im	-0.00989956484171928 + 7.232297279554067e-11im	0.06472885970549787 - 2.5098857789776748e-12im
-8.84805633246643e-6 + 0.0im	-0.13275787907224323 - 4.6162629078187686e-10im	-0.009898803823512931 + 7.599651669019906e-11im	-0.009898796291135523 + 7.193289223105993e-11im	0.06472350272007855 - 3.1764557617493154e-12im
-8.760451814323197e-6 + 0.0im	-0.13276327382851602 - 4.5826271117824253e-10im	-0.009898046419472974 + 7.556194311222995e-11im	-0.009898038887389623 + 7.150018439321006e-11im	0.06471820011723446 - 3.787585107352215e-12im
-8.67371466764673e-6 + 0.0im	-0.13276861389683284 - 4.5468732873310135e-10im	-0.009897299978781358 + 7.508380935710463e-11im	-0.009897292446987872 + 7.102624601368828e-11im	0.06471295132375568 - 4.346366656459798e-12im
-8.587836304600723e-6 + 0.0im	-0.13277389985193502 - 4.5090608203431326e-10im	-0.009896564321328502 + 7.456354206923468e-11im	-0.009896556789820826 + 7.051250712576642e-11im	0.06470775577305386 - 4.855763002494897e-12im
-8.502808222376953e-6 + 0.0im	-0.1327791322619621 - 4.469251758309843e-10im	-0.009895839270319852 + 7.400259998769313e-11im	-0.009895831739094038 + 6.996042649968883e-11im	0.06470261290506962 - 5.3186088185576555e-12im
-8.41862200235342e-6 + 0.0im	-0.13278431168854288 - 4.427510634862678e-10im	-0.009895124652208223 + 7.340246977163641e-11im	-0.009895117121260464 + 6.937148745284189e-11im	0.06469752216618135 - 5.737613578803619e-12im
-8.33526930926081e-6 + 0.0im	-0.13278943868688553 - 4.3839042938384544e-10im	-0.009894420296627678 + 7.276466213480986e-11im	-0.009894412765954302 + 6.874719397722996e-11im	0.0646924830091163 - 6.115364597327883e-12im
-8.252741890357238e-6 + 0.0im	-0.13279451380586607 - 4.33850171283784e-10im	-0.009893726036328956 + 7.209070824052073e-11im	-0.009893718505926394 + 6.808906713571947e-11im	0.06468749489286256 - 6.454330317637774e-12im
-8.171031574611127e-6 + 0.0im	-0.13279953758811452 - 4.29137382631923e-10im	-0.009893041707116263 + 7.138215631625624e-11im	-0.009893034176981083 + 6.739864168627719e-11im	0.06468255728258336 - 6.756863794633727e-12im
-8.090130271892205e-6 + 0.0im	-0.13280451057010031 - 4.2425933483421416e-10im	-0.009892367130884122 + 7.064056845389784e-11im	-0.009892359601013003 + 6.667746290017312e-11im	0.06467766964953259 - 7.025206318805443e-12im
-8.0100299721705e-6 + 0.0im	-0.1328094332822159 - 4.1922345951357e-10im	-0.00989170218316325 + 6.986751756736239e-11im	-0.009891694653553025 + 6.592708354596844e-11im	0.06467283147097176 - 7.261491139214193e-12im
-7.930722744723268e-6 + 0.0im	-0.13281430624885884 - 4.1403733077194257e-10im	-0.009891046691651612 + 6.906458448458784e-11im	-0.009891039162299227 + 6.514906101616626e-11im	0.06466804223008875 - 7.467747247880474e-12im
-7.85220073734977e-6 + 0.0im	-0.13281912998850712 - 4.087086474846153e-10im	-0.009890400503764786 + 6.823335515517999e-11im	-0.00989039297466729 + 6.434495457777128e-11im	0.06466330141591872 - 7.645903193526014e-12im
-7.774456175593833e-6 + 0.0im	-0.13282390501381539 - 4.0324521565716994e-10im	-0.009889763469674339 + 6.737541795882088e-11im	-0.009889755940828913 + 6.351632273176135e-11im	0.0646586085232626 - 7.797790897314822e-12im
-7.697481361974092e-6 + 0.0im	-0.1328286318316677 - 3.976549308783214e-10im	-0.009889135442257634 + 6.64923611027926e-11im	-0.009889127913661568 + 6.26647206696933e-11im	0.06465396305261441 - 7.925149447373127e-12im
-7.621268675221874e-6 + 0.0im	-0.13283331094327241 - 3.9194576090391284e-10im	-0.00988851627704028 + 6.558577009974752e-11im	-0.009888508748690981 + 6.179169781841802e-11im	0.06464936451008226 - 8.029628852508686e-12im
-7.5458105695266075e-6 + 0.0im	-0.13283794284423042 - 3.8612572840887507e-10im	-0.009887905832144685 + 6.465722531922046e-11im	-0.009887898304039681 + 6.089879546621219e-11im	0.06464481240731511 - 8.11279373875311e-12im
-7.47109957378872e-6 + 0.0im	-0.1328425280246099 - 3.8020289394490503e-10im	-0.00988730396823838 + 6.370829960837756e-11im	-0.009887296440375299 + 5.998754446560741e-11im	0.06464030626142939 - 8.176126975166653e-12im
-7.397128290879921e-6 + 0.0im	-0.1328470669690186 - 3.741853391421394e-10im	-0.009886710548483557 + 6.274055597917562e-11im	-0.009886703020860137 + 5.905946300984749e-11im	0.06463584559493732 - 8.221033217818069e-12im
-7.323889396910813e-6 + 0.0im	-0.13285156015667496 - 3.680811501931329e-10im	-0.009886125438487757 + 6.175554536049892e-11im	-0.009886117911101852 + 5.811605448127251e-11im	0.06463142993567625 - 8.248842363021758e-12im
-7.251375640505755e-6 + 0.0im	-0.13285600806147824 - 3.6189840165713974e-10im	-0.009885548506255637 + 6.075480441499105e-11im	-0.009885540979105184 + 5.7158805371052893e-11im	0.06462705881673904 - 8.260812902814076e-12im
-7.179579842084906e-6 + 0.0im	-0.13286041115207728 - 3.556451406220031e-10im	-0.009884979622141748 + 5.973985342122515e-11im	-0.009884972095224799 + 5.618918327059846e-11im	0.06462273177640616 - 8.258135177312076e-12im
-7.108494893153372e-6 + 0.0im	-0.13286476989193816 - 3.493293712599739e-10im	-0.009884418658804366 + 5.87121942225966e-11im	-0.009884411132119074 + 5.52086349356836e-11im	0.0646184483580783 - 8.241934520046209e-12im
-7.038113755597398e-6 + 0.0im	-0.13286908473941056 - 3.4295903981249324e-10im	-0.009883865491160345 + 5.767330824488856e-11im	-0.00988385796470495 + 5.421858442487671e-11im	0.06461420811021065 - 8.213274293618755e-12im
-6.968429460987523e-6 + 0.0im	-0.13287335614779322 - 3.365420200374567e-10im	-0.009883319996340876 + 5.6624654584884114e-11im	-0.009883312470113715 + 5.3220431314263145e-11im	0.0646100105862478 - 8.17315881413152e-12im
-6.899435109888637e-6 + 0.0im	-0.13287758456539847 - 3.300860991507308e-10im	-0.00988278205364828 + 5.5567668172692706e-11im	-0.009882774527647778 + 5.221554899072536e-11im	0.06460585534456029 - 8.122536163769335e-12im
-6.8311238711768685e-6 + 0.0im	-0.1328817704356152 - 3.235989642917564e-10im	-0.009882251544513655 + 5.450375801063634e-11im	-0.009882244018738323 + 5.12052830262074e-11im	0.06460174194838149 - 8.062300891735875e-12im
-6.763488981363236e-6 + 0.0im	-0.13288591419697138 - 3.170881895409654e-10im	-0.00988172835245549 + 5.343430549162692e-11im	-0.009881720826903917 + 5.019094963545874e-11im	0.06459766996574622 - 7.993296604429555e-12im
-6.696523743923996e-6 + 0.0im	-0.13289001628319475 - 3.1056122351450443e-10im	-0.009881212363039115 + 5.236066279996284e-11im	-0.009881204837709972 + 4.9173834219735696e-11im	0.06459363896942975 - 7.916318446334013e-12im
-6.630221528637619e-6 + 0.0im	-0.13289407712327395 - 3.0402537755937696e-10im	-0.00988070346383706 + 5.1284151397397944e-11im	-0.009880695938729091 + 4.8155189998854026e-11im	0.06458964853688849 - 7.832115473589902e-12im
