w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-0.7394224246582378 + 0.0im	-0.15160000040007315 - 0.0017835030579468592im	-1.7505220380510105e-7 - 5.040743704292659e-7im	3.637477969408561e-7 + 1.0471420345231122e-6im	0.0993609261390746 + 0.0018380374978956451im
-0.7321014105527107 + 0.0im	-0.15285127527301298 - 0.0018188156819469825im	-1.7741099104248327e-7 - 5.197757232775325e-7im	3.6864737270877743e-7 + 1.0797592085295496e-6im	0.10047770532375543 + 0.0018859220387799829im
-0.7248528817353571 + 0.0im	-0.15411076388562772 - 0.0018544968914212538im	-1.7978685687974817e-7 - 5.359376031763536e-7im	3.7358229049511345e-7 + 1.113333019728558e-6im	0.10160852489717992 + 0.001934917765369921im
-0.7176761205300566 + 0.0im	-0.15537849527891956 - 0.0018905518275648162im	-1.821789375840543e-7 - 5.525740257893067e-7im	3.785507482039379e-7 + 1.1478925780832318e-6im	0.1027535996688718 + 0.001985057518085199im
-0.7105704163663926 + 0.0im	-0.15665449087570207 - 0.0019269859368141505im	-1.8458644975535439e-7 - 5.69699421948516e-7im	3.8355111064121513e-7 + 1.1834678555728303e-6im	0.10391314593048866 + 0.002036375321809613im
-0.7035350657092996 + 0.0im	-0.157938777576395 - 0.001963804953592613im	-1.870082901806354e-7 - 5.873286492053777e-7im	3.8858107819599204e-7 + 1.2200897101675039e-6im	0.10508739397095233 + 0.002088906416282543im
-0.6965693719894055 + 0.0im	-0.1592313841153478 - 0.002001014881486288im	-1.8944467732278576e-7 - 6.054770041176609e-7im	3.9364109593252766e-7 + 1.2577899113324454e-6im	0.10627656820503965 + 0.0021426872883043087im
-0.6896726455340648 + 0.0im	-0.16053232841890155 - 0.0020386219729659066im	-1.918933445151994e-7 - 6.241602353326284e-7im	3.987264474345858e-7 + 1.2966011671853896e-6im	0.10748090141127653 + 0.002197755706009892im
-0.682844203499074 + 0.0im	-0.16184163530637596 - 0.0020766327077827605im	-1.9435380873872987e-7 - 6.4339455752596e-7im	4.0383612060508037e-7 + 1.336557153431699e-6im	0.1087006381753888 + 0.00225415075547775im
-0.6760833698010634 + 0.0im	-0.16315932254127394 - 0.002115053770177954im	-1.9682499549059254e-7 - 6.631966662560145e-7im	4.0896787437098233e-7 + 1.3776925442007504e-6im	0.10993600776397455 + 0.002311912879952234im
-0.6693894750505578 + 0.0im	-0.16448542860353169 - 0.0021538920250550376im	-1.9930555011365756e-7 - 6.835837537923138e-7im	4.141188863266622e-7 + 1.420043044905952e-6im	0.11118726570975715 + 0.0023710839219690445im
-0.6627618564857007 + 0.0im	-0.1658199555399017 - 0.0021931544932761475im	-2.0179683146108557e-7 - 7.045735259760524e-7im	4.1929196887413465e-7 + 1.4636454272485438e-6im	0.11245466365452829 + 0.002431707168683509im
