w	A_d-A_d	Ac_d-A_d	A_d-Ac_d	Ac_d-Ac_d
-0.9203708190275894 + 0.0im	-1.010057794054214 - 0.009876607803779542im	2.360079610242757e-6 + 5.25716691607768e-6im	2.3584533043695e-6 + 5.257830169106687e-6im	-1.3455134077387834 - 0.022294113554581597im
-0.9112582366609796 + 0.0im	-1.0193746557247563 - 0.010136222313818277im	2.396353220136558e-6 + 5.449338401653455e-6im	2.3946698818571266e-6 + 5.4500052468671204e-6im	-1.3622883540505644 - 0.023061858191351734im
-0.902235877882158 + 0.0im	-1.028768998640272 - 0.010399620937260223im	2.432691791475219e-6 + 5.648040630443339e-6im	2.4309498584603096e-6 + 5.648710226841847e-6im	-1.3793190740607428 - 0.023855184817618124im
-0.8933028493882752 + 0.0im	-1.0382413250190141 - 0.010666813196068737im	2.469073363507857e-6 + 5.8535113271012e-6im	2.4672712593826307e-6 + 5.85418278534842e-6im	-1.3966108886807658 - 0.024675236560477334im
-0.8844582667210645 + 0.0im	-1.0477922223101797 - 0.010937811091362857im	2.5054618648864815e-6 + 6.065997871594666e-6im	2.5035979991950205e-6 + 6.066670253132941e-6im	-1.4141694240000025 - 0.025523228938724742im
-0.8757012541792718 + 0.0im	-1.0574222312158044 - 0.011212629272030292im	2.5418259429054933e-6 + 6.285757627694369e-6im	2.5398987110870327e-6 + 6.286429943886921e-6im	-1.4320000772162278 - 0.026400454469364912im
-0.8670309447319523 + 0.0im	-1.0671319272041293 - 0.011491285193685643im	2.5781228831722874e-6 + 6.513058276219848e-6im	2.576130669116683e-6 + 6.513729487520937e-6im	-1.4501087422589825 - 0.02730828753495466im
-0.858446479932626 + 0.0im	-1.0769218647416066 - 0.01177379926697845im	2.6143116543665372e-6 + 6.748178152940436e-6im	2.612252829509465e-6 + 6.748847168093282e-6im	-1.4685010853069294 - 0.028248189526008608im
-0.8499470098342832 + 0.0im	-1.0867926426401924 - 0.012060194994302354im	2.650339249796911e-6 + 6.991406591022125e-6im	2.6482121756797055e-6 + 6.992072266284217e-6im	-1.4871837386989837 - 0.02922171427337692im
-0.8415316929052309 + 0.0im	-1.0967448287476351 - 0.012350499094010464im	2.686155699710168e-6 + 7.243044267900422e-6im	2.683958727796033e-6 + 7.243705406295881e-6im	-1.5061627283868535 - 0.030230513786185225im
-0.8331996959457731 + 0.0im	-1.1067790109951465 - 0.012644741611304137im	2.7217329053613044e-6 + 7.503403556444742e-6im	2.7194643733073393e-6 + 7.504058907042804e-6im	-1.5254447149021788 - 0.031276344311608674im
-0.824950194005716 + 0.0im	-1.1168957388347918 - 0.012942956015031296im	2.7569040860204957e-6 + 7.772808880260034e-6im	2.7545623383606635e-6 + 7.773457137478848e-6im	-1.5450358374280293 - 0.03236107273342237im
-0.8167823703026891 + 0.0im	-1.1270956397488345 - 0.013245179279706877im	2.791696098108164e-6 + 8.051597072946843e-6im	2.7892794578767537e-6 + 8.052236875881167e-6im	-1.5649433790710061 - 0.03348668332693583im
-0.8086954161412763 + 0.0im	-1.13737924443638 - 0.013551451952151568im	2.825997336286633e-6 + 8.34011774110967e-6im	2.8235041252308815e-6 + 8.340747672881147e-6im	-1.585174273890542 - 0.034655284888560685im
-0.8006885308329468 + 0.0im	-1.1477471916250424 - 0.013861818202234427im	2.859718396032156e-6 + 8.638733630867043e-6im	2.857146930399252e-6 + 8.639352217994987e-6im	-1.6057355450397528 - 0.03586911825888768im
-0.792760921616779 + 0.0im	-1.1582000476449232 - 0.014176325857301143im	2.89276480028215e-6 + 8.947820997570757e-6im	2.890113392038231e-6 + 8.948426709361731e-6im	-1.6266346673790644 - 0.03713056425873676im
-0.7849118035809693 + 0.0im	-1.168738403100416 - 0.01449502641997099im	2.9250302327401665e-6 + 9.267769978390093e-6im	2.922297190403403e-6 + 9.268361226343608e-6im	-1.6478792849301616 - 0.038442152058207155im
