w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-1.2529260182316984 + 0.0im	-0.07425390954161698 - 0.0010475826796109593im	3.531047138565503e-5 + 4.4686027735502716e-5im	-3.531023558850575e-5 - 4.468670909582765e-5im	0.09070771758206438 + 0.0019489136987284534im
-1.2405208101303944 + 0.0im	-0.07494194099949883 - 0.0010873772180710986im	3.5986848127422667e-5 + 4.6549109724121313e-5im	-3.598659052366982e-5 - 4.65498121114585e-5im	0.09173202182132184 + 0.002026805992156532im
-1.2282384258716776 + 0.0im	-0.07563537984301553 - 0.0011281752386746297im	3.6664720276295645e-5 + 4.847401651966057e-5im	-3.666443974373409e-5 - 4.847474021103983e-5im	0.09276850834366575 + 0.002107003846558124im
-1.2160776493778986 + 0.0im	-0.076334248700728 - 0.001169980880284032im	3.734375863420794e-5 + 5.046232093421398e-5im	-3.7343454046809595e-5 - 5.046306619314865e-5im	0.0938173380267063 + 0.002189547182222655im
-1.2040372766117808 + 0.0im	-0.07703855495849994 - 0.0012127975963398486im	3.8023554376451996e-5 + 5.251563818914318e-5im	-3.802322452618373e-5 - 5.251640526477132e-5im	0.0948786643728812 + 0.0022744763447466333im
-1.1921161154572086 + 0.0im	-0.07774833186840091 - 0.0012566281620415233im	3.870372243245048e-5 + 5.463562838043248e-5im	-3.870336611291065e-5 - 5.463641750664891e-5im	0.09595266220479082 + 0.0023618321774410886im
-1.1803129856011967 + 0.0im	-0.07846358982872882 - 0.0013014746845858574im	3.938389844589648e-5 + 5.682399906856037e-5im	-3.9383514409029376e-5 - 5.6824810463139576e-5im	0.09703949615707615 + 0.00245165610029009im
-1.1686267184170265 + 0.0im	-0.07918435004251971 - 0.0013473386165011492im	4.006371634021415e-5 + 5.9082507991722913e-5im	-4.006330327757796e-5 - 5.9083341855433016e-5im	0.0981393389404498 + 0.002543990195539012im
-1.1570561568485411 + 0.0im	-0.07991063180434584 - 0.001394220772100169im	4.074277583340826e-5 + 6.141296590075815e-5im	-4.0742332398145084e-5 - 6.14138224164658e-5im	0.09925236517559932 + 0.0026388772999703055im
-1.1456001552955852 + 0.0im	-0.08064245637695383 - 0.0014421213470594907im	4.142076296688988e-5 + 6.381723951363808e-5im	-4.1420287808634625e-5 - 6.381811884540456e-5im	0.10037875765377377 + 0.002736361103903578im
