w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-1.1686267184170265 + 0.0im	0.06675424415012518 + 0.01270690402437463im	0.0022146444887644516 - 0.0005662748525150377im	0.0022146444887645458 - 0.0005662748525150309im	0.06675424415012551 + 0.012706904024374707im
-1.1570561568485411 + 0.0im	0.06816906904680657 + 0.013269441156701638im	0.002235736024701756 - 0.0005920232690957592im	0.002235736024701852 - 0.0005920232690957522im	0.06816906904680693 + 0.013269441156701714im
-1.1456001552955852 + 0.0im	0.06961189056113816 + 0.013854667913329255im	0.002257413763091792 - 0.0006187791616894473im	0.0022574137630918885 - 0.0006187791616894408im	0.0696118905611385 + 0.01385466791332934im
-1.1342575795005794 + 0.0im	0.07108312953615865 + 0.014463446595545796im	0.002279717946512483 - 0.0006465710641218463im	0.0022797179465125807 - 0.0006465710641218396im	0.07108312953615903 + 0.01446344659554587im
-1.1230273064362173 + 0.0im	0.07258319930537538 + 0.015096671059394176im	0.0023026882351353133 - 0.000675427496719944im	0.002302688235135412 - 0.0006754274967199367im	0.07258319930537578 + 0.015096671059394266im
-1.1119082241942746 + 0.0im	0.07411251761658015 + 0.015755267633919205im	0.002326368267286271 - 0.0007053768890229752im	0.0023263682672863707 - 0.0007053768890229689im	0.07411251761658053 + 0.015755267633919302im
-1.1008992318755193 + 0.0im	0.07567147392533023 + 0.016440196033601955im	0.0023508045248833752 - 0.0007364474963332565im	0.0023508045248834763 - 0.00073644749633325im	0.07567147392533065 + 0.016440196033602056im
-1.089999239480712 + 0.0im	0.07726047404578695 + 0.017152450261731525im	0.0023760448454989464 - 0.0007686673098995291im	0.0023760448454990474 - 0.0007686673098995223im	0.0772604740457874 + 0.01715245026173164im
-1.0792071678026853 + 0.0im	0.07887990741710811 + 0.017893059501279566im	0.002402140200653933 - 0.0008020639605343332im	0.0024021402006540356 - 0.0008020639605343264im	0.07887990741710856 + 0.01789305950127968im
-1.0685219483194903 + 0.0im	0.0805301634865786 + 0.018663088989661184im	0.0024291434967455075 - 0.0008366646154774775im	0.0024291434967456107 - 0.0008366646154774711im	0.08053016348657903 + 0.0186630889896613im
-1.0579425230886044 + 0.0im	0.0822115892870758 + 0.019463640873586756im	0.0024571113569813907 - 0.000872495868329721im	0.0024571113569814944 - 0.0008724958683297146im	0.08221158928707627 + 0.019463640873586888im
-1.0474678446421826 + 0.0im	0.08392457839667454 + 0.020295855040034536im	0.0024861022604050253 - 0.0009095836218944676im	0.00248610226040513 - 0.0009095836218944624im	0.08392457839667501 + 0.020295855040034668im
-1.037096875883349 + 0.0im	0.08566943905931233 + 0.021160909919202615im	0.0025161780469450026 - 0.0009479529637809148im	0.002516178046945111 - 0.0009479529637809094im	0.0856694390593128 + 0.021160909919202758im
-1.026828589983514 + 0.0im	0.08744660928856557 + 0.02206002325513522im	0.0025474027812513794 - 0.0009876280346390472im	0.0025474027812514882 - 0.0009876280346390418im	0.08744660928856607 + 0.022060023255135373im
-1.016661970280707 + 0.0im	0.08925611941219691 + 0.02299445283955855im	0.0025798444694261173 - 0.001028631888916313im	0.0025798444694262266 - 0.0010286318889163079im	0.08925611941219748 + 0.02299445283955871im
-1.0065960101789178 + 0.0im	0.09109854386315683 + 0.023965497204311032im	0.00261357310658798 - 0.0010709863480463239im	0.0026135731065880913 - 0.0010709863480463184im	0.09109854386315736 + 0.023965497204311202im
-0.9966297130484334 + 0.0im	0.09297406399842016 + 0.024974496267608812im	0.002648662208809275 - 0.0011147118460030447im	0.002648662208809388 - 0.0011147118460030408im	0.09297406399842069 + 0.024974496267609007im
-0.9867620921271618 + 0.0im	0.09488293664161189 + 0.026022831929253174im	0.002685189002255549 - 0.0011598272671783985im	0.0026851890022556637 - 0.0011598272671783942im	0.09488293664161242 + 0.026022831929253365im
-0.9769921704229325 + 0.0im	0.09682540245186394 + 0.027111928609761696im	0.00272323301331519 - 0.0012063497765680711im	0.0027232330133153053 - 0.0012063497765680664im	0.09682540245186448 + 0.027111928609761908im
